Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0659920,2019,"Redding city, California",826,1.29,2909,4.55,14769,23.09,21711,33.94,8329,13.02,10935,17.09,4493,7.02
1600000US0659962,2019,"Redlands city, California",1162,2.27,3356,6.55,6831,13.33,9247,18.04,3472,6.77,12390,24.17,14800,28.87
1600000US0660018,2019,"Redondo Beach city, California",506,1.08,851,1.81,2960,6.29,9322,19.82,3164,6.73,20339,43.23,9901,21.05
1600000US0660102,2019,"Redwood City city, California",3640,5.77,1863,2.95,9711,15.39,9314,14.76,4434,7.03,17558,27.83,16564,26.26
1600000US0660466,2019,"Rialto city, California",7215,11.61,9378,15.09,18676,30.04,15722,25.29,3352,5.39,5601,9.01,2222,3.57
1600000US0660620,2019,"Richmond city, California",8409,11.22,9346,12.47,14766,19.70,14343,19.14,4855,6.48,14824,19.78,8400,11.21
1600000US0662000,2019,"Riverside city, California",22231,10.93,16410,8.07,56299,27.69,48191,23.70,15277,7.51,25536,12.56,19364,9.52
1600000US0662364,2019,"Rocklin city, California",740,1.66,1118,2.51,6464,14.49,8617,19.32,5700,12.78,14990,33.60,6981,15.65
1600000US0662938,2019,"Roseville city, California",2005,2.03,3459,3.50,15394,15.59,24482,24.79,10388,10.52,29752,30.13,13265,13.43
1600000US0664000,2019,"Sacramento city, California",23806,6.82,21558,6.17,78509,22.48,81517,23.34,26021,7.45,77336,22.14,40523,11.60
1600000US0664224,2019,"Salinas city, California",25166,27.82,11338,12.53,21879,24.19,13098,14.48,8482,9.38,7454,8.24,3045,3.37
1600000US0665000,2019,"San Bernardino city, California",14438,11.08,21704,16.66,42236,32.41,27039,20.75,8170,6.27,11535,8.85,5182,3.98
1600000US0665042,2019,"San Buenaventura (Ventura) city, California",2297,2.89,4146,5.21,15291,19.21,20635,25.92,7778,9.77,18656,23.44,10801,13.57
1600000US0665084,2019,"San Clemente city, California",658,1.45,819,1.80,6342,13.94,8377,18.42,3550,7.80,13797,30.33,11946,26.26
1600000US0666000,2019,"San Diego city, California",56366,5.69,47552,4.80,154539,15.61,192905,19.49,69625,7.03,277682,28.05,191280,19.32
1600000US0667000,2019,"San Francisco city, California",47667,6.80,33872,4.83,83279,11.88,87281,12.45,34056,4.86,245885,35.06,169239,24.13
1600000US0668000,2019,"San Jose city, California",62158,8.74,41424,5.83,117419,16.51,117489,16.52,52781,7.42,183254,25.77,136515,19.20
1600000US0668084,2019,"San Leandro city, California",6281,9.06,3330,4.80,14598,21.05,13567,19.57,5241,7.56,17354,25.03,8972,12.94
1600000US0668196,2019,"San Marcos city, California",3451,5.55,3630,5.84,12364,19.89,13165,21.18,4734,7.62,16096,25.90,8716,14.02
1600000US0668252,2019,"San Mateo city, California",4858,6.37,2733,3.58,9127,11.97,11025,14.46,4977,6.53,22525,29.54,21000,27.54
1600000US0668378,2019,"San Ramon city, California",533,1.06,1039,2.06,4599,9.11,5218,10.34,2878,5.70,20268,40.15,15951,31.59
1600000US0669000,2019,"Santa Ana city, California",41360,19.55,36497,17.25,52420,24.77,34714,16.40,9458,4.47,25000,11.81,12162,5.75
1600000US0669070,2019,"Santa Barbara city, California",6266,9.83,3061,4.80,7328,11.50,9789,15.36,4385,6.88,20061,31.48,12838,20.14
1600000US0669084,2019,"Santa Clara city, California",2302,2.49,3282,3.55,11625,12.58,10986,11.89,7243,7.84,28881,31.25,28099,30.40
1600000US0669088,2019,"Santa Clarita city, California",7476,5.29,6771,4.79,25806,18.26,35613,25.21,13435,9.51,35089,24.83,17099,12.10
1600000US0669112,2019,"Santa Cruz city, California",1393,3.98,430,1.23,4389,12.53,6757,19.29,2844,8.12,10130,28.92,9086,25.94
1600000US0669196,2019,"Santa Maria city, California",18425,30.51,6098,10.10,14510,24.03,10399,17.22,2668,4.42,5653,9.36,2636,4.37
1600000US0670000,2019,"Santa Monica city, California",2988,4.08,1307,1.79,7954,10.87,10096,13.80,3797,5.19,27851,38.07,19170,26.20
1600000US0670098,2019,"Santa Rosa city, California",10496,8.54,7478,6.09,25171,20.49,26284,21.39,12199,9.93,24922,20.29,16305,13.27
1600000US0672016,2019,"Simi Valley city, California",2586,2.87,4176,4.64,20347,22.61,22369,24.86,10574,11.75,19915,22.13,10008,11.12
1600000US0673080,2019,"South Gate city, California",16990,28.54,9659,16.22,14526,24.40,10545,17.71,2616,4.39,4353,7.31,845,1.42
1600000US0673262,2019,"South San Francisco city, California",3417,6.43,2690,5.06,10609,19.96,9375,17.64,5130,9.65,16056,30.21,5876,11.05
1600000US0675000,2019,"Stockton city, California",28520,14.50,17853,9.08,58468,29.73,38024,19.33,14511,7.38,27423,13.94,11862,6.03
1600000US0677000,2019,"Sunnyvale city, California",4699,4.26,2495,2.26,9577,8.68,13751,12.46,7661,6.94,33602,30.46,38532,34.93
1600000US0678120,2019,"Temecula city, California",2642,3.60,1750,2.38,11198,15.25,21916,29.84,6762,9.21,18659,25.41,10515,14.32
1600000US0678582,2019,"Thousand Oaks city, California",2316,2.71,2757,3.23,9820,11.51,15973,18.72,7689,9.01,26712,31.31,20060,23.51
1600000US0680000,2019,"Torrance city, California",2554,2.34,2578,2.37,19681,18.06,17828,16.36,8383,7.69,38994,35.79,18932,17.38
1600000US0680238,2019,"Tracy city, California",5660,9.39,4645,7.70,15888,26.35,15250,25.29,6627,10.99,9925,16.46,2300,3.81
1600000US0680644,2019,"Tulare city, California",3871,11.69,4555,13.76,10056,30.38,8567,25.88,3157,9.54,2355,7.11,544,1.64
1600000US0680812,2019,"Turlock city, California",3878,8.57,2692,5.95,10245,22.64,12986,28.70,4126,9.12,7937,17.54,3389,7.49
1600000US0680854,2019,"Tustin city, California",2970,5.84,3303,6.49,9475,18.62,9329,18.33,3952,7.77,13111,25.76,8750,17.19
1600000US0681204,2019,"Union City city, California",2689,4.94,2872,5.28,10637,19.55,8347,15.34,3725,6.85,16912,31.08,9237,16.97
1600000US0681344,2019,"Upland city, California",984,1.83,3542,6.60,11741,21.87,14612,27.22,5591,10.42,11462,21.35,5744,10.70
1600000US0681554,2019,"Vacaville city, California",3344,4.78,5145,7.35,16057,22.93,20642,29.48,7586,10.83,11001,15.71,6240,8.91
1600000US0681666,2019,"Vallejo city, California",4698,5.49,5427,6.34,22179,25.92,22892,26.75,7702,9.00,14358,16.78,8307,9.71
1600000US0682590,2019,"Victorville city, California",7170,10.01,13201,18.44,21046,29.39,16811,23.48,5250,7.33,4877,6.81,3246,4.53
1600000US0682954,2019,"Visalia city, California",9525,11.16,5288,6.19,18817,22.04,25496,29.87,11333,13.28,9664,11.32,5245,6.14
1600000US0682996,2019,"Vista city, California",10080,15.05,6638,9.91,13245,19.77,16027,23.93,6015,8.98,10676,15.94,4299,6.42
1600000US0683346,2019,"Walnut Creek city, California",510,0.94,778,1.43,4200,7.73,10037,18.48,3316,6.11,19442,35.80,16019,29.50
1600000US0684200,2019,"West Covina city, California",5308,7.09,4530,6.05,20919,27.95,16083,21.49,6734,9.00,15563,20.79,5706,7.62
1600000US0684550,2019,"Westminster city, California",8307,13.03,6607,10.36,15641,24.53,11273,17.68,4963,7.78,12445,19.52,4535,7.11
1600000US0685292,2019,"Whittier city, California",3021,5.44,3921,7.06,16232,29.24,12079,21.76,5374,9.68,8559,15.42,6325,11.39
1600000US0686832,2019,"Yorba Linda city, California",613,1.24,1576,3.19,6748,13.65,9289,18.79,5290,10.70,17451,35.29,8482,17.15
1600000US0686972,2019,"Yuba City city, California",5344,11.93,4756,10.62,9396,20.97,11112,24.80,4106,9.17,5684,12.69,4402,9.83
,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!
