Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2014,Lakewood,2.6,4.2,1.8,2.6,2.5,5.6,0.9,3.0,2.1,1.1,3.2,11.5,0.0,1.8,3.4,1.8,0.0,10.4,4.3,1.3,0.0
2014,Lancaster,24.7,32.6,9.7,22.8,19.4,24.8,33.6,22.7,14.3,12.4,27.6,46.3,36.7,18.7,26.1,29.7,34.8,65.5,20.6,2.9,0.0
2014,Livermore,2.2,1.2,1.7,3.6,1.5,5.4,2.8,3.1,0.7,N,N,N,N,3.3,1.8,0.0,0.0,11.1,1.1,2.3,0.0
2014,Long Beach,16.5,23.6,11.8,6.3,7.8,34.3,19.8,14.6,2.7,7.6,18.6,37.6,51.1,11.2,16.0,26.9,26.6,47.8,21.4,7.1,4.3
2014,Los Angeles,18.2,27.5,14.0,10.1,10.2,33.9,23.0,14.5,5.7,8.4,22.6,45.0,51.0,13.7,18.7,27.3,23.2,46.3,27.5,6.5,4.8
2014,Lynwood,26.6,32.1,20.3,22.2,24.9,29.6,26.3,20.9,10.6,13.8,25.4,50.2,-,29.2,28.9,21.6,28.8,80.4,38.9,14.0,8.8
2014,Manteca,9.6,13.5,9.9,5.7,4.3,13.9,8.9,9.7,5.7,5.1,16.3,2.7,100.0,7.4,13.7,2.5,11.8,9.2,18.9,4.1,0.0
2014,Menifee,10.3,15.0,6.0,13.5,9.8,23.7,14.2,6.9,3.6,6.3,12.0,19.2,100.0,9.8,7.5,12.4,33.9,23.4,9.3,5.7,0.0
2014,Merced,25.3,41.0,17.6,3.5,11.0,33.2,41.6,24.0,1.6,3.9,35.8,49.4,100.0,18.2,22.2,42.0,59.4,55.5,35.6,4.5,10.0
2014,Milpitas,4.6,5.4,2.6,9.5,1.8,5.5,13.3,8.3,0.0,3.8,4.3,13.8,0.0,4.2,5.6,3.7,0.0,29.3,3.7,1.7,2.2
2014,Mission Viejo,1.9,2.2,0.7,1.3,1.9,0.0,0.0,3.5,1.3,N,N,N,N,1.6,1.2,5.3,0.0,12.1,2.1,0.0,0.0
2014,Modesto,14.6,20.9,10.7,7.1,6.8,28.0,20.0,11.5,5.4,8.5,21.0,18.8,53.8,14.4,17.1,10.3,7.9,37.3,18.4,3.5,0.0
