Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2019,Long Beach,10.6,16.0,7.5,4.8,21.5,16.8,10.7,1.8,5.6,12.9,26.6,56.3,9.3,9.2,17.9,12.7,28.4,19.1,3.2,0.8
2019,Los Angeles,12.1,19.1,8.6,9.1,23.2,16.1,9.8,4.1,6.1,14.8,34.8,48.3,9.6,11.8,18.4,19.2,38.6,19.8,3.8,2.2
2019,Lynwood,13.4,14.0,10.3,10.2,14.4,17.0,11.9,0.0,12.5,6.7,42.1,16.6,15.7,8.9,17.7,9.2,42.1,24.9,4.4,0.0
2019,Madera,18.7,22.1,16.8,19.0,34.3,6.7,9.4,4.5,9.1,12.1,49.7,17.7,18.3,9.4,36.5,25.9,29.5,30.1,10.0,5.5
2019,Manteca,8.4,12.8,4.1,16.3,22.0,5.4,9.4,3.7,4.4,10.6,17.3,52.1,7.9,4.1,21.4,13.7,28.5,5.2,4.2,3.1
2019,Menifee,6.0,8.5,3.9,3.5,3.0,11.3,1.7,9.2,3.5,8.9,8.1,0.0,2.8,9.2,7.3,0.0,14.5,9.4,0.9,0.0
2019,Merced,19.4,24.6,14.2,12.2,33.8,25.4,14.4,0.0,11.9,20.2,42.8,18.5,14.6,22.9,25.2,12.4,49.1,30.9,5.4,0.0
2019,Milpitas,0.7,0.6,0.3,1.3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,Mission Viejo,2.3,1.5,1.3,4.3,5.3,4.7,1.6,2.1,2.8,1.7,0.0,0.0,3.9,1.1,0.0,0.0,7.6,2.7,1.1,0.0
2019,Modesto,7.7,11.6,3.6,4.1,16.3,7.0,7.7,0.6,3.7,10.6,12.9,25.1,5.3,7.0,14.9,10.4,21.7,7.9,3.0,1.1
