Year,City,Total,Total Occupied,Renter occupied
2016,Merced,"24,221","8,697","15,524"
2016,Milpitas,"22,870","14,306","8,564"
2016,Mission Viejo,,,
2016,Modesto,"70,591","38,688","31,903"
2016,Moreno Valley,"49,785","28,145","21,640"
2016,Mountain View,"32,696","13,214","19,482"
2016,Murrieta,"31,090","20,950","10,140"
2016,Napa,"30,017","17,087","12,930"
2016,Newport Beach,"37,351","21,514","15,837"
2016,Norwalk,"26,883","16,864","10,019"
2016,Oakland,"158,084","60,549","97,535"
2016,Oceanside,"62,661","32,014","30,647"
2016,Ontario,"49,020","26,807","22,213"
2016,Orange,"43,533","23,784","19,749"
2016,Oxnard,"49,895","26,337","23,558"
2016,Palmdale,"44,225","27,190","17,035"
2016,Palo Alto,"28,228","15,506","12,722"
2016,Pasadena,"55,291","22,860","32,431"
2016,Perris,"17,261","10,643","6,618"
2016,Pittsburg,"20,509","11,542","8,967"
2016,Pleasanton,"29,774","20,930","8,844"
2016,Pomona,"35,503","17,520","17,983"
2016,Rancho Cordova,"24,611","14,220","10,391"
2016,Rancho Cucamonga,"57,514","33,320","24,194"
2016,Redding,"36,472","20,400","16,072"
2016,Redlands,"24,217","12,892","11,325"
2016,Redondo Beach,,,
2016,Redwood City,"30,293","13,960","16,333"
2016,Rialto,"26,445","16,691","9,754"
2016,Richmond,"34,949","17,949","17,000"
2016,Riverside,"91,360","47,603","43,757"
2016,Roseville,"48,500","31,516","16,984"
2016,Sacramento,"183,212","87,140","96,072"
2016,Salinas,"39,274","16,746","22,528"
2016,San Bernardino,"57,920","25,782","32,138"
2016,San Buenaventura (Ventura),"40,630","23,022","17,608"
2016,San Clemente,,,
2016,San Diego,"495,726","226,554","269,172"
2016,San Francisco,"358,703","136,000","222,703"
2016,San Jose,"320,447","182,315","138,132"
2016,San Leandro,"34,977","19,979","14,998"
2016,San Marcos,"28,706","18,278","10,428"
2016,San Mateo,"38,710","21,215","17,495"
2016,San Ramon,"25,847","18,488","7,359"
2016,Santa Ana,"74,294","33,150","41,144"
2016,Santa Barbara,"36,514","14,820","21,694"
2016,Santa Clara,"44,392","19,517","24,875"
2016,Santa Clarita,"61,687","42,517","19,170"
2016,Santa Maria,"27,248","12,993","14,255"
2016,Santa Monica,"47,265","13,089","34,176"
2016,Santa Rosa,"64,202","36,122","28,080"
2016,Simi Valley,"41,020","29,264","11,756"
2016,South Gate,"23,762","10,076","13,686"
2016,South San Francisco,"20,881","11,830","9,051"
2016,Stockton,"95,851","44,188","51,663"
2016,Sunnyvale,"56,245","25,653","30,592"
2016,Temecula,"32,551","20,261","12,290"
2016,Thousand Oaks,"46,830","33,013","13,817"
2016,Torrance,"53,614","29,321","24,293"
2016,Tracy,"26,744","15,526","11,218"
2016,Turlock,"25,137","13,382","11,755"
2016,Tustin,"27,573","12,476","15,097"
2016,Union City,"21,702","13,629","8,073"
2016,Upland,"27,326","14,003","13,323"
2016,Vacaville,,,
2016,Vallejo,"40,419","21,545","18,874"
2016,Victorville,"32,803","17,052","15,751"
2016,Visalia,"41,357","24,940","16,417"
2016,Vista,"30,416","14,604","15,812"
2016,Walnut Creek,,,
2016,West Covina,"30,803","17,745","13,058"
2016,Westminster,"27,587","13,486","14,101"
2016,Whittier,"27,597","15,575","12,022"
2016,Yorba Linda,"21,941","17,845","4,096"
2016,Yuba City,"22,096","10,235","11,861"
2017,Alameda,"30,662","14,011","16,651"
2017,Alhambra,"30,255","11,545","18,710"
2017,Anaheim,"98,734","43,552","55,182"
2017,Antioch,"34,423","21,204","13,219"
2017,Apple Valley town,,,
2017,Arden-Arcade CDP,"40,788","16,773","24,015"
2017,Bakersfield,"118,508","66,449","52,059"
2017,Baldwin Park,"17,725","9,503","8,222"
2017,Bellflower,"24,796","9,448","15,348"
2017,Berkeley,"43,770","19,261","24,509"
2017,Buena Park,"23,627","12,510","11,117"
2017,Burbank,"40,981","16,729","24,252"
2017,Camarillo,,,
2017,Carlsbad,,,
2017,Carmichael CDP,"25,537","14,243","11,294"
2017,Carson,"26,070","18,338","7,732"
2017,Castro Valley CDP,,,
2017,Chico,"37,547","16,303","21,244"
2017,Chino,"20,484","12,228","8,256"
2017,Chino Hills,,,
2017,Chula Vista,"80,417","45,564","34,853"
2017,Citrus Heights,"33,598","18,545","15,053"
2017,Clovis,"35,855","22,543","13,312"
2017,Compton,"23,360","12,209","11,151"
2017,Concord,"45,868","28,379","17,489"
2017,Corona,"47,942","31,162","16,780"
2017,Costa Mesa,"40,927","16,418","24,509"
2017,Daly City,"29,162","16,796","12,366"
2017,Davis,,,
2017,Downey,"33,578","17,537","16,041"
2017,East Los Angeles CDP,"31,910","9,890","22,020"
2017,El Cajon,"33,587","12,929","20,658"
2017,Elk Grove,"53,661","39,088","14,573"
2017,El Monte,"27,987","11,836","16,151"
2017,Escondido,"46,250","22,811","23,439"
2017,Fairfield,"37,324","20,495","16,829"
2017,Florence-Graham CDP,"14,918","5,789","9,129"
2017,Folsom,,,
2017,Fontana,"52,767","35,302","17,465"
2017,Fremont,"72,148","46,122","26,026"
2017,Fresno,"169,409","79,723","89,686"
2017,Fullerton,"45,632","22,958","22,674"
2017,Garden Grove,"48,036","24,766","23,270"
2017,Glendale,"74,613","24,637","49,976"
2017,Hawthorne,"29,450","7,063","22,387"
2017,Hayward,"46,860","24,593","22,267"
2017,Hemet,"29,725","18,035","11,690"
2017,Hesperia,"25,398","17,213","8,185"
2017,Huntington Beach,"77,155","44,900","32,255"
2017,Indio,"35,675","25,949","9,726"
2017,Inglewood,"35,788","12,878","22,910"
2017,Irvine,"97,161","45,478","51,683"
2017,Jurupa Valley,"23,784","16,502","7,282"
2017,Laguna Niguel,,,
2017,Lake Elsinore,"16,388","10,663","5,725"
2017,Lake Forest,"29,519","20,436","9,083"
2017,Lakewood,"25,186","17,703","7,483"
2017,Lancaster,"48,327","26,417","21,910"
2017,Livermore,,,
2017,Lodi,"22,454","10,771","11,683"
2017,Long Beach,"167,447","68,066","99,381"
2017,Los Angeles,"1,384,851","506,790","878,061"
2017,Lynwood,"15,263","6,703","8,560"
2017,Madera,"18,079","8,406","9,673"
2017,Manteca,"24,573","15,378","9,195"
2017,Menifee,"28,891","21,923","6,968"
2017,Merced,"26,278","10,577","15,701"
2017,Milpitas,"22,128","14,364","7,764"
2017,Mission Viejo,,,
2017,Modesto,"72,621","39,131","33,490"
2017,Moreno Valley,"48,908","28,738","20,170"
2017,Mountain View,"33,177","13,709","19,468"
2017,Murrieta,,,
2017,Napa,"28,790","17,415","11,375"
2017,Newport Beach,,,
2017,Norwalk,"27,661","18,216","9,445"
2017,Oakland,"158,851","62,467","96,384"
2017,Oceanside,"61,138","35,832","25,306"
2017,Ontario,"50,572","27,061","23,511"
2017,Orange,"42,663","24,385","18,278"
2017,Oxnard,"52,717","28,541","24,176"
2017,Palmdale,"42,005","25,367","16,638"
2017,Palo Alto,,,
2017,Pasadena,"54,177","22,972","31,205"
2017,Perris,"15,947","10,468","5,479"
2017,Pittsburg,"20,784","11,433","9,351"
2017,Pleasanton,,,
2017,Pomona,"38,980","21,445","17,535"
2017,Rancho Cordova,"25,850","13,589","12,261"
2017,Rancho Cucamonga,"52,731","33,620","19,111"
2017,Redding,,,
2017,Redlands,,,
2017,Redondo Beach,,,
2017,Redwood City,"32,344","16,319","16,025"
2017,Rialto,"26,699","16,339","10,360"
2017,Richmond,"37,029","18,859","18,170"
2017,Riverside,"86,905","46,148","40,757"
2017,Roseville,"50,198","32,728","17,470"
2017,Sacramento,"189,193","91,978","97,215"
2017,Salinas,"41,218","18,880","22,338"
2017,San Bernardino,"60,714","29,869","30,845"
2017,San Buenaventura (Ventura),"41,338","21,649","19,689"
2017,San Clemente,"25,366","16,680","8,686"
2017,San Diego,"504,208","237,233","266,975"
2017,San Francisco,"360,323","131,576","228,747"
2017,San Jose,"321,913","184,716","137,197"
2017,San Leandro,"33,458","18,890","14,568"
2017,San Marcos,"29,611","19,199","10,412"
2017,San Mateo,"39,660","20,788","18,872"
2017,San Ramon,"24,317","17,834","6,483"
2017,Santa Ana,"76,650","35,239","41,411"
2017,Santa Barbara,"40,145","16,755","23,390"
2017,Santa Clara,"43,159","18,445","24,714"
2017,Santa Clarita,"67,564","45,075","22,489"
2017,Santa Cruz,,,
2017,Santa Maria,"27,968","14,064","13,904"
2017,Santa Monica,"45,258","13,529","31,729"
2017,Santa Rosa,"64,155","35,289","28,866"
2017,Simi Valley,"40,822","28,266","12,556"
2017,South Gate,"24,019","10,306","13,713"
2017,South San Francisco,"20,939","11,831","9,108"
2017,Stockton,"91,392","45,926","45,466"
2017,Sunnyvale,"55,024","25,645","29,379"
2017,Temecula,,,
2017,Thousand Oaks,"46,017","32,860","13,157"
2017,Torrance,"54,327","30,769","23,558"
2017,Tracy,"25,830","16,325","9,505"
2017,Turlock,,,
2017,Tustin,"27,780","13,033","14,747"
2017,Union City,"22,684","14,920","7,764"
