City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chino,309884.1,299989.6,285146.4,334949.8,393710.9,414230.6,429304.9,460508.7,503649.2,509986.3
Chino Hills,433515.7,428922.8,403619.4,456223.6,527993.1,550021.4,556761.6,605140.7,664377.2,666507.0
Chowchilla,109772.7,109061.4,110988.3,133880.8,163386.0,180525.3,197014.2,211196.6,236638.1,250707.6
Chualar,238642.7,237261.7,238741.1,287292.3,353014.6,404799.5,452288.6,478164.1,512721.2,545472.6
Chula Vista,320672.3,308685.5,309744.9,359970.5,410121.4,444913.1,480652.8,509799.7,535473.5,546003.7
Citrus Heights,171512.1,154532.6,151969.7,195640.1,231734.2,249217.4,274253.0,301015.0,329859.4,342055.4
Claremont,465299.0,439650.5,428057.7,482200.5,539867.2,565122.9,580286.6,624356.2,673205.1,690645.9
Clarksburg,498005.5,398079.7,362559.1,409012.2,441407.0,484012.5,513361.2,564160.5,596563.8,623163.4
Clearlake,58655.5,57730.1,59346.0,72187.6,87073.3,94763.5,110875.1,129744.8,148684.3,163685.4
Clearlake Oaks,100258.3,96343.5,95861.3,107701.5,123353.4,136917.7,153851.6,171602.0,191837.4,202225.6
Clio,318724.4,307215.1,313128.3,325438.0,351336.2,360467.8,377708.8,392622.1,422886.2,438902.7
Clipper Mills,143517.2,125144.9,110676.1,120415.8,132286.8,145017.5,159418.6,171584.1,190615.6,212742.0
Cloverdale,317915.5,299175.0,273519.6,312203.0,362825.5,398200.2,444885.6,489968.5,542495.4,545378.1
Clovis,234654.3,210791.5,212935.0,243393.8,268993.3,280025.9,295187.5,315051.2,340448.1,353301.2
Coachella,119829.7,110870.4,109655.5,132930.0,162212.7,185090.7,210141.4,228820.0,247988.7,258316.1
Coalinga,153062.1,126508.0,114922.2,126741.2,139831.5,152385.9,159951.3,170494.0,182131.9,192234.4
Coarsegold,175182.7,169151.2,170643.3,191303.6,215164.4,229755.5,237419.3,252416.1,283452.3,295688.0
Cobb,144982.5,133854.9,135690.7,155508.6,175457.3,192673.5,215396.9,230624.0,247356.9,269695.7
Coleville,166978.6,153442.3,149624.2,160529.0,178458.9,186394.6,211449.4,221203.2,237269.0,246390.2
Colfax,247967.0,215546.9,206562.9,233986.0,271103.9,301125.3,331046.3,362937.5,391325.1,398729.2
Colma,497396.7,460763.4,455842.2,555194.0,640448.2,733942.0,811698.9,869864.9,995105.6,1041416.2
Colton,123633.7,124838.4,122901.1,147300.3,187865.1,211291.0,225205.2,254284.8,294218.2,307828.1
Colusa,143639.2,137869.9,135206.2,145584.6,164099.5,184626.8,203074.3,218963.1,241698.4,262435.8
Commerce,249278.3,236851.7,231454.2,260514.4,306035.3,330817.2,350676.1,392719.6,444061.6,468996.2
Compton,177720.0,175108.1,175046.2,202219.3,241399.6,269784.4,291520.9,331642.4,383123.6,414478.0
Concord,258622.9,248203.5,264095.4,344163.1,411059.4,453312.8,497103.4,533239.3,577420.4,583685.2
