Year,City,% All Families
2017,Fullerton,8.4
2017,Garden Grove,12.3
2017,Glendale,12.6
2017,Hawthorne,11.5
2017,Hayward,4
2017,Hemet,15.7
2017,Hesperia,14
2017,Huntington Beach,5.4
2017,Indio,11.1
2017,Inglewood,12.8
2017,Irvine,7.8
2017,Jurupa Valley,9.2
2017,Laguna Niguel,5.8
2017,Lake Elsinore,15.5
2017,Lake Forest,2.6
2017,Lakewood,4.1
2017,Lancaster,13.2
2017,Livermore,1.3
2017,Lodi,11.5
2017,Long Beach,12.5
2017,Los Angeles,13.2
2017,Lynwood,17.8
2017,Madera,22.7
2017,Manteca,10.6
2017,Menifee,4.6
2017,Merced,26.8
2017,Milpitas,5.8
2017,Mission Viejo,5
2017,Modesto,10.9
2017,Moreno Valley,11.3
2017,Mountain View,2.1
2017,Murrieta,4.1
2017,Napa,2.8
2017,Newport Beach,3.7
2017,Norwalk,6
2017,Oakland,11.6
2017,Oceanside,6.6
2017,Ontario,10.9
2017,Orange,9
2017,Oxnard,11.2
2017,Palmdale,15.1
2017,Palo Alto,2.7
2017,Pasadena,6.4
2017,Perris,13.2
2017,Pittsburg,8.4
2017,Pleasanton,3.4
2017,Pomona,15.1
2017,Rancho Cordova,7.6
2017,Rancho Cucamonga,5.3
2017,Redding,12.3
2017,Redlands,9.1
2017,Redondo Beach,3.6
2017,Redwood City,6
2017,Rialto,16.8
2017,Richmond,11.6
2017,Riverside,9.3
2017,Roseville,7.2
2017,Sacramento,11.6
2017,Salinas,10.7
2017,San Bernardino,17.7
2017,San Buenaventura (Ventura),8
2017,San Clemente,4.2
2017,San Diego,8.5
2017,San Francisco,5.1
2017,San Jose,5.8
2017,San Leandro,7.6
2017,San Marcos,3.7
2017,San Mateo,5.4
2017,San Ramon,5.1
2017,Santa Ana,13.2
2017,Santa Barbara,6.4
2017,Santa Clara,3.7
2017,Santa Clarita,6.2
2017,Santa Cruz,14
2017,Santa Maria,10.7
2017,Santa Monica,5.3
2017,Santa Rosa,5.9
2017,Simi Valley,6.5
2017,South Gate,19.1
2017,South San Francisco,5
2017,Stockton,14.8
2017,Sunnyvale,3.9
2017,Temecula,6.1
2017,Thousand Oaks,3.6
2017,Torrance,6.6
2017,Tracy,7.4
2017,Turlock,14.5
2017,Tustin,8.6
2017,Union City,1.4
2017,Upland,5.9
2017,Vacaville,5.4
2017,Vallejo,8.6
2017,Victorville,16.8
2017,Visalia,13.6
2017,Vista,6.3
2017,Walnut Creek,3.4
2017,West Covina,4.6
2017,Westminster,12.7
2017,Whittier,9.6
2017,Yorba Linda,0.9
2017,Yuba City,12.6
2018,Alameda,6.3
2018,Alhambra,9
2018,Anaheim,10.2
2018,Antioch,12.1
2018,Apple Valley,13.4
2018,Arden-Arcade,16.9
2018,Bakersfield,15.5
2018,Baldwin Park,11.4
