Year,RegionName,House Price Mean
2015,Pleasant Grove,425682.3
2015,Pleasant Hill,626126.9
2015,Pleasanton,931009.4
2015,Plumas Eureka,225793.9
2015,Plymouth,344971.7
2015,Point Reyes Station,907458.8
2015,Pollock Pines,238320.7
2015,Pomona,323669.3
2015,Pope Valley,258178.6
2015,Port Hueneme,320551.2
2015,Porterville,153191.6
2015,Portola,138384
2015,Portola Valley,2993248.5
2015,Potrero,297423.5
2015,Potter Valley,360102.5
2015,Poway,623378.5
2015,Prather,310536.1
2015,Quincy,198829.9
2015,Ramona,438769.8
2015,Ranchita,300566.6
2015,Rancho Cordova,286228.4
2015,Rancho Cucamonga,431003.1
2015,Rancho Mirage,461392.3
2015,Rancho Mission Viejo,660084.7
2015,Rancho Palos Verdes,1003124.6
2015,Rancho Santa Fe,2290532.9
2015,Rancho Santa Margarita,525337.7
2015,Raymond,252194.1
2015,Red Bluff,171926.2
2015,Redding,227693.5
2015,Redlands,330610
2015,Redondo Beach,797864.8
2015,Redwood City,1121640.4
2015,Redwood Valley,434061.3
2015,Reedley,187550.4
2015,Rescue,461763.8
2015,Rialto,259029.7
2015,Richgrove,98057.4
2015,Richmond,353344.4
2015,Richvale,186617.8
2015,Ridgecrest,154002.1
2015,Rio Dell,207771.1
2015,Rio Linda,221711.5
2015,Rio Oso,355227.7
2015,Rio Vista,300699.8
2015,Ripon,366006.9
2015,Riverbank,243347.6
2015,Riverdale,155404.7
2015,Riverside,324565.1
2015,Robbins,177970.4
2015,Rocklin,405098.5
2015,Rohnert Park,427624.2
2015,Rolling Hills,1850071
2015,Rolling Hills Estates,1132544.4
2015,Rosamond,168910.7
2015,Rosemead,496687.1
2015,Rosemont,232200.6
2015,Roseville,379559.6
2015,Ross,2602358.6
2015,Rough and Ready,342662.3
2015,Rowland Heights,575811.7
2015,Running Springs,150105.7
2015,Sacramento,243365.5
2015,Saint Helena,1198877.1
2015,Salida,249665.2
2015,Salinas,370551
2015,San Andreas,178146.6
2015,San Anselmo,1034863.6
2015,San Bernardino,194960.7
2015,San Bruno,736664.3
2015,San Carlos,1498542.7
2015,San Clemente,773166.2
2015,San Diego,513680.1
2015,San Dimas,509551.9
2015,San Fernando,337297.5
2015,San Francisco,1075753.3
2015,San Gabriel,643760.5
2015,San Geronimo,757107
2015,San Jacinto,210691.1
2015,San Joaquin,116180.6
2015,San Jose,730391.2
2015,San Juan Bautista,562696.4
2015,San Juan Capistrano,637163.6
2015,San Leandro,492812.5
2015,San Lorenzo,472649.9
2015,San Luis Obispo,614023.2
2015,San Marcos,507907.8
2015,San Marino,2046944
2015,San Martin,910747.3
2015,San Mateo,1052284.3
2015,San Miguel,319140.8
2015,San Pablo,306104.4
2015,San Rafael,807412.1
2015,San Ramon,882701.4
2015,Sanger,191685.5
2015,Santa Ana,399638.8
2015,Santa Barbara,989708.7
2015,Santa Clara,873738.8
2015,Santa Clarita,453741.4
2015,Santa Cruz,781895.2
2015,Santa Fe Springs,380464
2015,Santa Maria,319382.3
2015,Santa Monica,1133089.4
2015,Santa Paula,377971.7
2015,Santa Rosa,464441.6
2015,Santa Ynez,1001277.4
2015,Santa Ysabel,467488.6
2015,Santee,408561.8
2015,Saratoga,2160672.4
2015,Sausalito,1101698.8
2015,Scotts Valley,785168.1
2015,Seal Beach,455832.3
2015,Seaside,411746.8
2015,Sebastopol,715319.7
2015,Selma,172282.6
2015,Shafter,179619.4
2015,Shandon,238143.3
2015,Shaver Lake,357591.8
2015,Sheridan,250645.1
2015,Shingle Springs,381562.9
2015,Sierra City,186151.2
2015,Sierra Madre,814342.3
2015,Sierraville,210490.1
2015,Signal Hill,419926.8
2015,Silverado,529951.4
2015,Simi Valley,498908.9
2015,Sloughhouse,415103.1
2015,Smartsville,271536.5
2015,Smith River,230392.7
2015,Snelling,238084.9
2015,Soda Springs,422246.4
2015,Solana Beach,1097618.1
2015,Soledad,292119.6
2015,Solvang,681262.4
2015,Somerset,292116.7
2015,Somis,868102.7
2015,Sonoma,648781.4
2015,Soquel,768434.5
2015,South El Monte,366706.9
2015,South Gate,336348.1
2015,South Lake Tahoe,372601.2
2015,South Pasadena,941988.8
2015,South San Francisco,746064.4
2015,Spring Valley,385473
2015,Springville,225674.5
2015,Squaw Valley,181891
2015,Standish,180720.8
2015,Stanford,1984604.3
2015,Stanton,367363.3
2015,Stevinson,275705.8
2015,Stinson Beach,1838791.7
2015,Stirling City,67108.2
2015,Stockton,204000.2
2015,Stratford,107185.3
2015,Strathmore,119882
2015,Sugarloaf,131544
2015,Suisun City,295180.9
2015,Summerland,1436318.7
2015,Sunnyvale,1148886.9
2015,Sunol,1006549.8
2015,Susanville,133644.8
2015,Sutter,196603.5
2015,Sutter Creek,284657.8
2015,Taft,103415.8
2015,Taft Mosswood,135206.6
2015,Tahoe City,614604.9
2015,Tahoe Vista,421536.3
2015,Tahoma,514943.1
2015,Tehachapi,217316.4
2015,Tehama,138520.3
2015,Temecula,397298.4
2015,Temple City,690401.1
2015,Templeton,503250.9
2015,Terra Bella,172694.5
2015,The Sea Ranch,769208.7
2015,Thermal,111740.7
2015,Thornton,202135.5
2015,Thousand Oaks,633639.6
2015,Thousand Palms,162862
2015,Three Rivers,272929.1
2015,Tiburon,1954778.1
2015,Tipton,114343.3
2015,Tollhouse,237761.7
2015,Tomales,746677.6
2015,Topanga,850123
2015,Torrance,662422.6
2015,Tracy,407466
2015,Tranquillity,125086.8
2015,Trinidad,456423.8
2015,Trinity Center,219201.1
