Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% No own children under 18,% 1-2 own children under 18 ,% 3-4 own children under 18,% 5 or more own children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family,% Owner occupied,% Renter occupied
2015,Mountain View ,1.7,1.4,0.6,5.5,0,4.8,1.6,1.5,N,N,N,N,1.9,1.7,0,0,2.9,0.8,0,0,22.7,1.7,0.2,0,0.2,3
2015,Murrieta ,9.1,11.1,4,8,23.7,2.6,11.4,7.3,6.4,7.9,28.4,0,6,8.5,29.6,0,7.7,6.8,19.8,12.8,27.9,11,1.4,3.5,5.6,15
2015,Napa ,7.4,10,6.3,3.5,21.2,9.1,2.1,5.6,4.4,5.2,21.1,68.6,4.1,5.4,27.6,54.4,2.4,8.9,10.8,40.8,20.2,11,4.2,0,3.5,12.2
2015,Newport Beach ,5.1,3.6,2.4,6.5,28,0,8.7,4,6,4.8,0,-,5.9,4.9,0,-,5.7,5.6,0,0,13.4,7.7,0.5,0,4.7,6
2015,Norwalk ,9.2,12.9,5.4,8.7,21.1,10.4,3.2,3.8,5.2,9.4,28.9,8.6,6.9,7.5,34.8,37.5,8.9,6.7,14.1,12.2,27.2,14,5.5,1.5,5.3,15
2015,Oakland ,15.6,24.4,11.9,5.2,25.2,21,20.6,4.4,6.2,22,36.8,27.3,7.9,22.5,39.5,32.1,12.1,18.1,16.2,33.2,40.6,24,5.2,5.5,4.1,25.2
2015,Oceanside ,10.3,14.9,7.2,12.5,26.4,17.9,9.3,1.7,6.8,10.7,27,64,7.9,11,25.8,56.2,6.1,13.9,6.2,50.5,30.6,12.6,2,5.5,4.9,18.8
2015,Ontario ,14.9,20.6,11.5,9.6,30.2,14.1,7.9,4.7,5.5,15.7,28.3,72.7,7.5,16.8,29.4,100,5.9,17.3,17.8,26.7,40.6,23.9,7.8,3.3,8.1,22.7
2015,Orange ,7.7,11.6,5.2,4.1,19,11.1,7.3,4,4.3,10.6,18.6,0,4.6,11.1,18.1,0,4.3,9.6,10.9,4.2,20.4,14.5,2,3.1,4.1,13.8
2015,Oxnard ,14.7,19.5,11.5,7.5,26.3,12.6,10.7,5.4,6.7,14.8,22.9,73.6,7.2,15.6,33.9,93.4,13.5,14.3,11.5,28.7,37.8,23.2,7.3,6.7,5,24.8
