Year,City,% All Families
2018,Oceanside ,6.5
2018,Ontario ,10.8
2018,Orange ,7.3
2018,Oxnard ,10
2018,Palmdale ,12.2
2018,Palo Alto ,3.4
2018,Pasadena ,10.2
2018,Perris ,10.9
2018,Pittsburg ,7.7
2018,Pleasanton ,2.7
2018,Pomona ,17.4
2018,Rancho Cordova ,10.9
2018,Rancho Cucamonga ,6.2
2018,Redding ,10.3
2018,Redlands ,6
2018,Redondo Beach ,3
2018,Redwood City ,7.1
2018,Rialto ,12.7
2018,Richmond ,11.3
2018,Riverside ,10.4
2018,Rocklin ,1.8
2018,Roseville ,7.1
2018,Sacramento ,10
2018,Salinas ,14.7
2018,San Bernardino ,20.1
2018,San Buenaventura (Ventura) ,5.3
2018,San Clemente ,2.9
2018,San Diego ,8.4
2018,San Francisco ,5.1
2018,San Jose ,5
2018,San Leandro ,4.3
2018,San Marcos ,6.4
2018,San Mateo ,3.9
2018,San Ramon ,1.5
2018,Santa Ana ,11.3
2018,Santa Barbara ,7.7
2018,Santa Clara ,5.2
2018,Santa Clarita ,5.3
2018,Santa Cruz ,8.1
2018,Santa Maria ,9.1
2018,Santa Monica ,5.4
2018,Santa Rosa ,7
2018,Simi Valley ,4
2018,South Gate ,14.1
2018,South San Francisco ,3.3
2018,South Whittier  ,6.3
2018,Stockton ,16.6
2018,Sunnyvale ,2.4
2018,Temecula ,6.4
2018,Thousand Oaks ,3.4
2018,Torrance ,4
2018,Tracy ,4.8
2018,Turlock ,12.8
2018,Tustin ,6.7
2018,Union City ,2.5
2018,Upland ,9.6
2018,Vacaville ,5.8
2018,Vallejo ,5.7
2018,Victorville ,17.4
2018,Visalia ,10.8
2018,Vista ,6.3
2018,Walnut Creek ,4.8
2018,West Covina ,6.7
2018,Westminster ,13.9
2018,Whittier ,5.6
2018,Yorba Linda ,5.1
2018,Yuba City ,11.3
2019,Alameda ,6.6
2019,Alhambra ,4.2
2019,Anaheim ,9
2019,Antioch ,13
2019,Apple Valley town,7.9
2019,Arden-Arcade  ,14
2019,Bakersfield ,11.2
2019,Baldwin Park ,9.5
2019,Bellflower ,7.4
2019,Berkeley ,1.2
2019,Buena Park ,4.5
2019,Burbank ,4.3
2019,Camarillo ,3.1
2019,Carlsbad ,2.9
