"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0627000","Fresno city, California","152890","3242","74995","3481","47745","2944","23850","2354","2440","799","629","474","331","233","77895","3201","31869","2308","31312","2876","7463","1346","4137","1024","3114","1292",
"1600000US0628000","Fullerton city, California","42935","1935","23196","1842","15158","1727","7594","977","316","207","128","147","0","294","19739","1413","6674","1113","9979","1282","1957","665","1060","535","69","113",
"1600000US0629000","Garden Grove city, California","45622","1726","26801","1762","12587","1559","11638","1188","2056","685","441","293","79","92","18821","1688","5703","1134","8889","1387","2452","669","1314","489","463","338",
"1600000US0630000","Glendale city, California","68191","2576","27020","1738","17875","1844","8450","1220","503","407","141","228","51","84","41171","2466","16039","2170","20804","2035","3528","861","695","425","105","122",
"1600000US0632548","Hawthorne city, California","28889","1938","7224","1070","3623","756","2816","812","718","388","0","294","67","111","21665","1941","8371","1674","9149","1434","2152","747","1625","710","368","315",
"1600000US0633000","Hayward city, California","43335","2121","22919","1927","12366","1535","9184","1379","1080","570","289","241","0","294","20416","1950","8116","1754","8906","1418","1950","664","1255","581","189","195",
"1600000US0633182","Hemet city, California","29954","1845","18406","2083","14346","2084","3159","958","722","501","179","223","0","294","11548","1644","6520","1464","4201","1019","512","376","315","315","0","294",
"1600000US0633434","Hesperia city, California","26411","1944","17085","1809","10793","1785","4724","924","1161","558","330","377","77","129","9326","1289","4448","1120","3436","972","1053","502","389","400","0","294",
"1600000US0636000","Huntington Beach city, California","74874","2244","44872","2663","35011","2653","9406","1104","455","324","0","294","0","294","30002","2155","16397","1776","11314","1700","1370","715","427","382","494","450",
"1600000US0636448","Indio city, California","24519","1644","16558","1789","12063","1784","4052","924","318","247","71","116","54","90","7961","1230","2651","830","2942","1047","1341","789","323","314","704","457",
"1600000US0636546","Inglewood city, California","34712","1549","12982","1347","7717","1111","4065","875","718","309","84","98","398","298","21730","1696","7684","1236","9488","1281","2712","743","1257","526","589","413",
"1600000US0636770","Irvine city, California","76172","2460","38163","2550","26574","2529","11469","1534","0","294","64","106","56","94","38009","2360","17626","2228","18472","1940","1660","570","251","266","0","294",
"1600000US0639496","Lake Forest city, California","26602","1471","18428","1685","13093","1794","5154","993","108","127","73","120","0","294","8174","1368","3693","1043","3397","1096","703","428","215","322","166","274",
"1600000US0639892","Lakewood city, California","26485","1293","19285","1311","11476","1615","6836","1092","846","514","127","156","0","294","7200","1077","3341","864","2706","717","547","445","309","309","297","345",
"1600000US0640130","Lancaster city, California","47466","2210","28492","2222","18898","2283","8347","1177","848","470","276","290","123","152","18974","1871","9006","1437","8833","1478","722","479","361","330","52","87",
"1600000US0641992","Livermore city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0643000","Long Beach city, California","158386","4102","62682","2749","39120","2806","19333","1889","3295","760","699","365","235","174","95704","4121","43983","3762","36608","2706","8311","1273","5004","1239","1798","621",
"1600000US0644000","Los Angeles city, California","1310259","9520","493028","7998","321277","7737","139677","5198","22496","2081","7662","1244","1916","633","817231","11253","346244","9656","312108","6823","70594","3626","53063","3789","35222","2891",
"1600000US0644574","Lynwood city, California","15511","1025","7251","1126","2187","695","3283","816","1226","411","453","308","102","116","8260","1047","1823","714","3734","824","1976","657","626","447","101","117",
"1600000US0645484","Manteca city, California","22451","1607","12998","1763","8891","1709","3784","831","158","166","165","272","0","294","9453","1160","4357","1155","4331","1002","502","446","263","334","0","294",
"1600000US0646842","Menifee city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0646898","Merced city, California","23350","1589","9944","1568","6169","1306","3196","817","481","269","98","166","0","294","13406","1535","6839","1496","5660","1114","653","352","214","222","40","69",
"1600000US0647766","Milpitas city, California","19127","1269","12068","1621","6412","1379","5259","946","337","197","60","113","0","294","7059","1089","2340","828","3875","960","489","361","355","301","0","294",
"1600000US0648256","Mission Viejo city, California","33734","1471","25914","1603","20929","1723","4851","804","74","121","60","103","0","294","7820","1242","3960","1087","2936","847","810","600","114","134","0","294",
"1600000US0648354","Modesto city, California","69452","1946","38271","2332","26670","2338","10612","1414","812","422","71","125","106","109","31181","2013","13197","1968","13710","1652","2761","1179","1097","647","416","409",
"1600000US0649270","Moreno Valley city, California","49040","1864","30109","1919","15868","1982","12236","1669","1624","547","134","126","247","186","18931","2020","6273","1375","10379","1561","1771","601","410","284","98","158",
"1600000US0649670","Mountain View city, California","32019","1727","13313","1421","10274","1372","2808","771","231","312","0","294","0","294","18706","1614","10090","1940","6883","1329","1111","606","505","465","117","137",
"1600000US0650076","Murrieta city, California","30651","1848","21240","1584","14699","1819","6086","1197","298","385","81","134","76","126","9411","1428","4539","1239","4100","1144","772","530","0","294","0","294",
"1600000US0650258","Napa city, California","28681","1640","16706","1700","12736","1633","3357","945","477","311","62","106","74","125","11975","1583","5486","1155","4898","1086","1086","631","505","382","0","294",
"1600000US0651182","Newport Beach city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0652526","Norwalk city, California","27796","1464","17584","1589","7146","1327","8233","1199","1515","585","238","301","452","449","10212","1332","2638","750","4640","1183","1820","588","569","387","545","446",
"1600000US0653000","Oakland city, California","151808","3746","61547","3357","44421","3394","13573","1652","2703","751","617","454","233","183","90261","3525","50500","3281","31915","2454","5108","1160","1870","712","868","466",
