Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2013,Rancho Cucamonga,171359,9883,5.8,10156,5.9,13865,8.1,13336,7.8,14062,8.2,23710,13.8,27227,15.9,23935,14.0,9060,5.3,8457,4.9,11770,6.9,4319,2.5,1579,0.9
2013,Redding,91124,4910,5.4,6722,7.4,5349,5.9,6920,7.6,7585,8.3,11520,12.6,9054,9.9,11550,12.7,5701,6.3,5591,6.1,8674,9.5,5240,5.8,2308,2.5
2013,Redlands,70000,6388,9.1,4654,6.6,5475,7.8,5267,7.5,5535,7.9,9331,13.3,7810,11.2,6962,9.9,5067,7.2,4240,6.1,5165,7.4,2634,3.8,1472,2.1
2013,Redondo Beach,67816,3570,5.3,4674,6.9,3780,5.6,2882,4.2,2365,3.5,9076,13.4,12937,19.1,11195,16.5,5038,7.4,3983,5.9,4705,6.9,2018,3.0,1593,2.3
2013,Redwood City,80875,6082,7.5,5862,7.2,3875,4.8,3801,4.7,3879,4.8,13620,16.8,13810,17.1,12277,15.2,4197,5.2,4295,5.3,5235,6.5,2713,3.4,1229,1.5
2013,Rialto,101889,8750,8.6,9023,8.9,9353,9.2,10091,9.9,8801,8.6,12672,12.4,13725,13.5,13428,13.2,5346,5.2,3813,3.7,3638,3.6,2545,2.5,704,0.7
2013,Richmond,107580,7974,7.4,6593,6.1,5607,5.2,6780,6.3,8099,7.5,17807,16.6,16057,14.9,13376,12.4,6954,6.5,5293,4.9,8400,7.8,3046,2.8,1594,1.5
2013,Riverside,316613,23454,7.4,22524,7.1,23260,7.3,27114,8.6,37734,11.9,41659,13.2,41767,13.2,41945,13.2,14769,4.7,13066,4.1,14670,4.6,11115,3.5,3536,1.1
2013,Roseville,127039,9630,7.6,7426,5.8,8716,6.9,8904,7.0,8318,6.5,17707,13.9,16822,13.2,16990,13.4,8653,6.8,5905,4.6,9310,7.3,5741,4.5,2917,2.3
2013,Sacramento,479671,33898,7.1,35057,7.3,28900,6.0,29776,6.2,38994,8.1,80048,16.7,63001,13.1,59329,12.4,32474,6.8,23326,4.9,29873,6.2,15955,3.3,9040,1.9
2013,Salinas,155649,15719,10.1,12891,8.3,12327,7.9,12971,8.3,14282,9.2,24529,15.8,21120,13.6,18580,11.9,7675,4.9,5105,3.3,4986,3.2,3868,2.5,1596,1.0
2013,San Bernardino,213700,17647,8.3,18015,8.4,15641,7.3,16700,7.8,21338,10.0,32914,15.4,22755,10.6,26666,12.5,13111,6.1,10045,4.7,11022,5.2,5513,2.6,2333,1.1
2013,San Buenaventura (Ventura),108811,6468,5.9,5789,5.3,6128,5.6,5995,5.5,8777,8.1,13960,12.8,12985,11.9,17212,15.8,8034,7.4,6732,6.2,8501,7.8,5609,5.2,2621,2.4
2013,San Clemente,65021,3695,5.7,3450,5.3,4694,7.2,4180,6.4,3147,4.8,8107,12.5,8647,13.3,9423,14.5,5330,8.2,4671,7.2,6930,10.7,1987,3.1,760,1.2
2013,San Diego,1355885,90402,6.7,82780,6.1,76554,5.6,86833,6.4,124104,9.2,248148,18.3,179853,13.3,172497,12.7,72287,5.3,65124,4.8,88996,6.6,47497,3.5,20810,1.5
2013,San Francisco,837442,37988,4.5,29704,3.5,27933,3.3,30807,3.7,52623,6.3,186825,22.3,135803,16.2,114197,13.6,52144,6.2,50286,6.0,62018,7.4,36901,4.4,20213,2.4
2013,San Jose,998514,66958,6.7,72743,7.3,62091,6.2,61491,6.2,66704,6.7,151739,15.2,156018,15.6,138305,13.9,64033,6.4,46973,4.7,62030,6.2,34112,3.4,15317,1.5
2013,San Leandro,87967,3684,4.2,5140,5.8,6296,7.2,4116,4.7,6202,7.1,9248,10.5,13775,15.7,14693,16.7,6200,7.0,6748,7.7,6564,7.5,3220,3.7,2081,2.4
2013,San Marcos,89375,4225,4.7,7550,8.4,5732,6.4,5744,6.4,5026,5.6,13575,15.2,15070,16.9,12117,13.6,6306,7.1,3097,3.5,6234,7.0,2720,3.0,1979,2.2
2013,San Mateo,101132,5959,5.9,5402,5.3,4769,4.7,5050,5.0,4023,4.0,15834,15.7,16796,16.6,13849,13.7,6596,6.5,6028,6.0,7755,7.7,5285,5.2,3786,3.7
2013,San Ramon,74514,3712,5.0,6458,8.7,6994,9.4,5524,7.4,2595,3.5,5923,7.9,13755,18.5,13170,17.7,5268,7.1,4441,6.0,3992,5.4,1576,2.1,1106,1.5
