Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2018,Carmichael,1570,3.39,1530,3.3,11820,25.5,9772,21.08,5646,12.18,10199,22.0,5817,12.55
2018,Carson,5989,9.48,6343,10.05,14345,22.72,14292,22.63,4600,7.28,12040,19.07,5536,8.77
2018,Castro Valley,2371,5.37,1115,2.53,8329,18.87,8921,20.21,3448,7.81,12620,28.59,7333,16.61
2018,Chico,1870,3.41,1494,2.72,8636,15.74,15487,28.23,6577,11.99,13902,25.34,6891,12.56
2018,Chino,4463,6.93,6502,10.09,14400,22.35,13061,20.27,6878,10.67,13776,21.38,5363,8.32
2018,Chino Hills,1364,2.54,1269,2.36,10258,19.1,8334,15.52,4854,9.04,18168,33.83,9450,17.6
2018,Chula Vista,10737,6.13,14601,8.34,36723,20.96,46927,26.79,18123,10.35,32483,18.54,15573,8.89
2018,Citrus Heights,2700,4.37,3185,5.16,14962,24.23,20459,33.14,7598,12.31,9727,15.75,3111,5.04
2018,Clovis,2755,3.82,3840,5.33,14443,20.04,19956,27.69,8065,11.19,14860,20.62,8160,11.32
2018,Compton,12252,21.16,6711,11.59,18478,31.91,13009,22.47,3143,5.43,3083,5.32,1228,2.12
2018,Concord,6457,6.82,3946,4.17,19670,20.78,24163,25.52,8058,8.51,21496,22.7,10886,11.5
2018,Corona,8061,7.73,7536,7.23,24869,23.86,24163,23.18,9152,8.78,21607,20.73,8847,8.49
2018,Costa Mesa,6000,7.57,3282,4.14,13861,17.48,16202,20.43,4888,6.16,22872,28.85,12187,15.37
2018,Daly City,5526,6.95,4873,6.13,15888,19.98,15698,19.75,6555,8.24,24071,30.28,6892,8.67
2018,Davis,166,0.49,174,0.52,1777,5.28,3920,11.64,1078,3.2,10726,31.85,15834,47.02
2018,Downey,8990,11.36,8588,10.85,21705,27.42,16698,21.1,4553,5.75,12889,16.29,5723,7.23
2018,East Los Angeles,21484,27.95,11744,15.28,17764,23.11,13563,17.64,3562,4.63,6762,8.8,2000,2.6
2018,El Cajon,5834,8.71,4583,6.84,19602,29.25,17365,25.92,5262,7.85,10097,15.07,4262,6.36
2018,Elk Grove,5434,4.67,5869,5.05,20049,17.25,31028,26.69,13156,11.32,28553,24.56,12164,10.46
2018,El Monte,19929,26.44,8699,11.54,20155,26.74,12033,15.96,4604,6.11,8076,10.71,1889,2.51
2018,Escondido,13052,12.63,6804,6.59,24601,23.81,27048,26.18,7270,7.04,15602,15.1,8943,8.66
2018,Fairfield,4819,6.34,4500,5.92,16798,22.11,21682,28.53,6528,8.59,14873,19.57,6790,8.94
2018,Florence-Graham,12221,34.99,7487,21.44,7685,22.0,4541,13.0,1366,3.91,1394,3.99,233,0.67
2018,Folsom,857,1.62,2006,3.79,6157,11.63,10954,20.69,5584,10.55,16864,31.85,10532,19.89
2018,Fontana,16223,12.68,13270,10.37,36184,28.28,30155,23.57,7645,5.97,18847,14.73,5636,4.4
2018,Fremont,5735,3.36,5274,3.09,26045,15.24,23263,13.61,9952,5.82,51214,29.97,49387,28.9
2018,Fresno,35712,10.96,33597,10.31,76112,23.36,74890,22.98,30781,9.45,48011,14.73,26735,8.2
2018,Fullerton,4504,4.78,5281,5.61,15875,16.86,20739,22.03,7625,8.1,26376,28.01,13755,14.61
2018,Garden Grove,16745,14.03,12398,10.39,32780,27.47,24552,20.57,8723,7.31,18160,15.22,5989,5.02
2018,Glendale,10697,7.05,7671,5.05,30877,20.34,23778,15.67,20875,13.75,37133,24.46,20751,13.67
2018,Hawthorne,6709,11.97,5342,9.53,13137,23.45,12156,21.7,5387,9.61,9523,17.0,3774,6.74
2018,Hayward,6567,6.05,11707,10.79,32686,30.12,21567,19.87,5723,5.27,21766,20.06,8510,7.84
2018,Hemet,4304,7.58,6907,12.16,19204,33.81,15171,26.71,5487,9.66,3904,6.87,1830,3.22
2018,Hesperia,5484,9.67,6628,11.69,19927,35.14,16389,28.9,4381,7.73,2508,4.42,1390,2.45
2018,Huntington Beach,4484,3.09,5150,3.55,25392,17.5,31695,21.84,12504,8.62,40566,27.96,25301,17.44
2018,Indio,4941,6.93,4276,6.0,34469,48.33,13940,19.55,3640,5.1,5407,7.58,4648,6.52
2018,Inglewood,10222,14.19,6064,8.42,16683,23.17,16436,22.82,7374,10.24,10842,15.05,4396,6.1
2018,Irvine,4243,2.34,2818,1.56,14370,7.94,25632,14.16,12399,6.85,67442,37.25,54152,29.91
2018,Jurupa Valley,11476,17.07,8790,13.07,20939,31.14,12743,18.95,4697,6.99,5956,8.86,2636,3.92
2018,Laguna Niguel,778,1.61,1622,3.36,7016,14.56,10641,22.08,3263,6.77,14392,29.86,10491,21.76
2018,Lake Elsinore,3758,9.39,2536,6.34,11623,29.05,11026,27.56,3393,8.48,5083,12.71,2588,6.47
2018,Lake Forest,2029,3.29,2142,3.48,7017,11.38,13677,22.19,6575,10.67,20038,32.51,10156,16.48
2018,Lakewood,2124,3.71,3143,5.49,12117,21.15,14981,26.15,5678,9.91,13403,23.4,5836,10.19
2018,Lancaster,8549,8.91,11116,11.59,28949,30.18,21406,22.32,9091,9.48,10004,10.43,6802,7.09
2018,Livermore,1422,2.23,2123,3.33,11750,18.42,15335,24.04,6494,10.18,16778,26.31,9876,15.48
2018,Lodi,5572,12.71,2782,6.35,11928,27.21,8967,20.46,4712,10.75,7121,16.25,2753,6.28
2018,Long Beach,39632,12.28,20994,6.51,53310,16.52,84182,26.09,25678,7.96,64856,20.1,33953,10.52
2018,Los Angeles,379197,13.62,244927,8.79,531202,19.07,498526,17.9,170504,6.12,627964,22.55,332524,11.94
2018,Lynwood,11051,26.01,6658,15.67,12460,29.33,7899,18.59,1489,3.5,1923,4.53,1005,2.37
2018,Madera,12639,33.47,4958,13.13,7870,20.84,6502,17.22,1837,4.87,2768,7.33,1184,3.14
2018,Manteca,3556,6.47,5161,9.39,16903,30.75,13481,24.52,6447,11.73,7074,12.87,2352,4.28
2018,Menifee,3490,5.56,4481,7.13,19084,30.38,19373,30.84,6302,10.03,6538,10.41,3555,5.66
2018,Merced,7155,15.13,5172,10.94,11704,24.75,11072,23.41,3534,7.47,5164,10.92,3487,7.37
2018,Milpitas,4604,8.09,3870,6.8,8233,14.46,6691,11.75,5036,8.85,17176,30.17,11320,19.88
2018,Mission Viejo,2029,2.86,2281,3.22,10157,14.32,13846,19.53,7524,10.61,23425,33.04,11643,16.42
2018,Modesto,8820,6.53,11465,8.49,42129,31.21,36732,27.21,10237,7.58,17801,13.19,7810,5.79
2018,Moreno Valley,13042,10.48,12878,10.35,38832,31.21,29318,23.56,9591,7.71,14860,11.94,5902,4.74
2018,Mountain View,2153,3.57,885,1.47,4584,7.59,6228,10.32,3115,5.16,17762,29.42,25648,42.48
2018,Murrieta,3551,4.95,4072,5.67,17880,24.9,16874,23.5,6827,9.51,15448,21.51,7152,9.96
2018,Napa,5749,10.37,2355,4.25,10529,18.99,12154,21.92,5505,9.93,13190,23.78,5976,10.78
2018,Newport Beach,1164,1.74,799,1.19,5549,8.29,8898,13.29,5470,8.17,26453,39.51,18617,27.81
2018,Norwalk,10955,15.34,6121,8.57,21593,30.24,15359,21.51,5767,8.08,9043,12.66,2576,3.61
2018,Oakland,22160,6.96,21603,6.79,51685,16.24,52882,16.61,19676,6.18,86353,27.13,63922,20.08
2018,Oceanside,9190,7.34,7107,5.68,30060,24.01,32884,26.27,9785,7.82,24387,19.48,11767,9.4
2018,Ontario,19080,16.56,14229,12.35,30030,26.06,24492,21.26,9257,8.03,13668,11.86,4457,3.87
2018,Orange,5321,5.7,6914,7.41,16383,17.56,19710,21.13,7583,8.13,25561,27.4,11825,12.67
2018,Oxnard,28395,21.15,9491,7.07,34540,25.73,29293,21.82,9425,7.02,16805,12.52,6277,4.68
2018,Palmdale,8828,9.4,14090,15.01,23370,24.9,22629,24.11,7839,8.35,11342,12.08,5771,6.15
2018,Palo Alto,447,0.93,729,1.51,1837,3.81,3559,7.38,1605,3.33,14219,29.47,25861,53.59
2018,Pasadena,7765,7.54,3449,3.35,15960,15.5,16417,15.94,7147,6.94,28656,27.82,23606,22.92
2018,Perris,7819,17.76,7304,16.59,14140,32.12,8666,19.69,1783,4.05,3153,7.16,1156,2.63
2018,Pittsburg,3469,7.56,5232,11.4,11815,25.73,11272,24.55,4783,10.42,6823,14.86,2519,5.49
2018,Pleasanton,1066,1.87,1626,2.86,4668,8.2,8568,15.05,4468,7.85,20261,35.6,16256,28.56
2018,Pomona,16656,18.25,11607,12.72,21162,23.18,20051,21.97,6339,6.94,11380,12.47,4088,4.48
2018,Rancho Cordova,2451,4.71,3769,7.24,11204,21.52,15087,28.98,5440,10.45,9701,18.63,4414,8.48
2018,Rancho Cucamonga,4089,3.39,6214,5.15,22022,18.25,34678,28.75,11186,9.27,24872,20.62,17575,14.57
2018,Redding,957,1.49,5495,8.54,14603,22.68,17602,27.34,8207,12.75,10154,15.77,7355,11.43
2018,Redlands,1601,3.23,4017,8.11,10102,20.41,8386,16.94,4392,8.87,11518,23.27,9491,19.17
2018,Redondo Beach,605,1.24,1219,2.49,4844,9.91,7852,16.07,4498,9.2,18272,37.38,11586,23.7
2018,Redwood City,3518,5.76,4261,6.97,9956,16.29,10774,17.63,3025,4.95,15164,24.81,14425,23.6
2018,Rialto,10134,16.5,7838,12.76,18964,30.88,12817,20.87,4384,7.14,4936,8.04,2335,3.8
2018,Richmond,8068,10.59,6945,9.12,16157,21.21,16638,21.84,6568,8.62,14354,18.84,7461,9.79
2018,Riverside,19117,9.37,17555,8.61,56443,27.68,48325,23.69,15849,7.77,26817,13.15,19841,9.73
2018,Rocklin,213,0.51,1684,4.04,6640,15.94,10213,24.52,4469,10.73,12730,30.57,5697,13.68
2018,Roseville,1327,1.41,2220,2.36,14186,15.05,24451,25.95,10063,10.68,30183,32.03,11798,12.52
2018,Sacramento,27483,7.96,22173,6.42,71422,20.7,75235,21.8,29554,8.56,77182,22.36,42066,12.19
2018,Salinas,25708,28.11,12206,13.35,21689,23.72,14274,15.61,6348,6.94,7888,8.62,3343,3.66
2018,San Bernardino,16962,13.33,21700,17.05,37210,29.24,25673,20.17,8814,6.93,11047,8.68,5863,4.61
2018,San Buenaventura (Ventura),3972,5.02,4835,6.11,13374,16.9,19903,25.15,7740,9.78,18326,23.16,10984,13.88
2018,San Clemente,2632,5.66,1277,2.75,5130,11.03,9863,21.21,5799,12.47,14583,31.37,7208,15.5
2018,San Diego,72665,7.34,56128,5.67,142739,14.43,188866,19.09,73687,7.45,264622,26.74,190787,19.28
2018,San Francisco,41657,5.93,31724,4.52,85850,12.22,87877,12.51,35127,5.0,253594,36.1,166736,23.73
2018,San Jose,57489,8.07,44362,6.22,113834,15.97,119121,16.72,57305,8.04,189186,26.55,131362,18.43
2018,San Leandro,4819,7.42,5468,8.42,19607,30.2,11746,18.09,5049,7.78,12235,18.85,5996,9.24
2018,San Marcos,5386,8.85,4431,7.28,10869,17.85,12531,20.58,4558,7.49,15017,24.67,8085,13.28
2018,San Mateo,2833,3.63,2341,3.0,8551,10.96,14555,18.66,4557,5.84,24860,31.86,20322,26.05
2018,San Ramon,1271,2.51,1386,2.74,3828,7.57,5123,10.13,2317,4.58,20769,41.07,15880,31.4
2018,Santa Ana,47051,22.23,32304,15.27,47431,22.41,40577,19.18,10314,4.87,24726,11.68,9209,4.35
2018,Santa Barbara,6001,9.48,3734,5.9,9368,14.8,11641,18.39,3944,6.23,16100,25.44,12505,19.76
2018,Santa Clara,2182,2.43,2695,3.0,12621,14.06,12103,13.49,4973,5.54,27463,30.6,27699,30.87
2018,Santa Clarita,7626,5.45,6999,5.0,24055,17.18,35086,25.05,15768,11.26,34031,24.3,16484,11.77
2018,Santa Cruz,2184,6.44,1101,3.25,3153,9.3,7136,21.05,2677,7.9,8951,26.41,8692,25.64
2018,Santa Maria,17108,29.01,6219,10.54,13678,23.19,9930,16.84,4516,7.66,5193,8.81,2333,3.96
2018,Santa Monica,1739,2.42,1042,1.45,5423,7.56,11242,15.67,4533,6.32,25904,36.12,21843,30.45
2018,Santa Rosa,12130,9.63,8479,6.73,21832,17.33,30577,24.28,12216,9.7,25127,19.95,15591,12.38
2018,Simi Valley,2598,2.92,3407,3.83,20000,22.49,22212,24.98,10685,12.02,21031,23.65,8985,10.1
2018,South Gate,15379,27.11,9330,16.45,14267,25.15,9745,17.18,2180,3.84,3958,6.98,1870,3.3
2018,South San Francisco,3610,7.41,2005,4.11,10917,22.4,9748,20.0,3771,7.74,13002,26.67,5693,11.68
2018,South Whittier,5323,12.76,2926,7.01,14479,34.7,9841,23.58,2400,5.75,5034,12.06,1729,4.14
2018,Stockton,23787,12.46,16021,8.39,64003,33.53,38721,20.28,17611,9.23,21071,11.04,9681,5.07
2018,Sunnyvale,3386,2.96,4449,3.89,10780,9.42,13920,12.16,6690,5.85,36385,31.8,38826,33.93
2018,Temecula,1909,2.73,2647,3.78,15366,21.97,19612,28.04,7426,10.62,14712,21.03,8278,11.83
2018,Thousand Oaks,4732,5.29,3749,4.19,12772,14.28,17287,19.32,8882,9.93,23771,26.57,18275,20.43
2018,Torrance,2214,2.09,3482,3.28,16258,15.33,19579,18.47,8915,8.41,37403,35.28,18179,17.15
2018,Tracy,5122,9.02,3458,6.09,15917,28.02,14134,24.88,5569,9.8,9673,17.03,2932,5.16
2018,Turlock,5410,11.78,4337,9.44,11267,24.53,10498,22.86,3720,8.1,6790,14.78,3907,8.51
2018,Tustin,6645,12.94,3747,7.3,8347,16.26,9749,18.99,2640,5.14,13235,25.78,6974,13.58
2018,Union City,1626,2.98,4424,8.12,14100,25.88,9143,16.78,2939,5.39,13371,24.54,8889,16.31
2018,Upland,1866,3.64,3204,6.26,10040,19.6,13208,25.79,5551,10.84,10422,20.35,6925,13.52
2018,Vacaville,1769,2.57,4301,6.24,17532,25.45,21204,30.77,7114,10.32,11325,16.44,5656,8.21
2018,Vallejo,4564,5.29,5388,6.25,20873,24.21,23198,26.9,9926,11.51,16641,19.3,5638,6.54
2018,Victorville,3738,5.28,10508,14.85,23187,32.78,18246,25.79,6914,9.77,6107,8.63,2043,2.89
2018,Visalia,4768,5.88,5133,6.33,19318,23.83,20321,25.07,9616,11.86,12981,16.01,8931,11.02
2018,Vista,6907,10.36,3985,5.98,16583,24.87,15404,23.1,6189,9.28,11494,17.24,6118,9.18
2018,Walnut Creek,418,0.72,963,1.66,3656,6.3,8000,13.78,3464,5.96,22184,38.2,19391,33.39
2018,West Covina,6421,8.81,3603,4.95,18666,25.62,16635,22.83,5224,7.17,15748,21.62,6557,9.0
2018,Westminster,8915,13.65,7365,11.28,12913,19.77,12055,18.46,5455,8.35,13132,20.1,5485,8.4
2018,Whittier,4195,6.86,2757,4.51,17148,28.04,14770,24.15,5162,8.44,10559,17.27,6564,10.73
2018,Yorba Linda,658,1.37,1079,2.24,5856,12.17,11275,23.43,4283,8.9,16304,33.88,8663,18.0
2018,Yuba City,4654,10.5,4710,10.63,10446,23.58,11206,25.29,4485,10.12,5596,12.63,3210,7.24
2019,Alameda,1682,2.98,3315,5.88,7109,12.61,9065,16.08,2965,5.26,19910,35.32,12319,21.86
2019,Alhambra,5503,8.87,4684,7.55,14697,23.69,9426,15.2,4119,6.64,14668,23.65,8931,14.4
2019,Anaheim,29256,12.38,23276,9.85,56179,23.77,50771,21.48,15649,6.62,39645,16.78,21548,9.12
2019,Antioch,5207,6.7,6111,7.86,22135,28.47,19723,25.37,8679,11.16,10053,12.93,5829,7.5
2019,Apple Valley,2170,4.61,3760,7.99,14478,30.75,13054,27.72,5006,10.63,4799,10.19,3819,8.11
2019,Arden-Arcade,3380,4.55,4189,5.64,18446,24.83,15071,20.29,7440,10.01,15893,21.39,9875,13.29
2019,Bakersfield,24274,10.43,19864,8.54,58738,25.25,55740,23.96,21941,9.43,34067,14.64,17997,7.74
2019,Baldwin Park,10151,20.21,5925,11.8,15994,31.84,9237,18.39,2203,4.39,5327,10.61,1390,2.77
2019,Bellflower,5870,11.17,7521,14.31,11557,21.99,13167,25.06,5516,10.5,6205,11.81,2712,5.16
2019,Berkeley,1361,1.79,1388,1.82,4460,5.86,8171,10.74,2474,3.25,26811,35.22,31449,41.32
2019,Buena Park,5813,9.58,3087,5.09,12811,21.12,14616,24.09,4618,7.61,14385,23.71,5341,8.8
2019,Burbank,2199,2.81,3128,4.0,10915,13.96,17299,22.13,9112,11.66,24957,31.93,10562,13.51
2019,Camarillo,1240,2.45,1613,3.19,7143,14.14,13046,25.82,4268,8.45,14384,28.47,8837,17.49
2019,Carlsbad,1140,1.36,1661,1.98,6911,8.22,16049,19.1,6954,8.28,30192,35.93,21119,25.13
2019,Carmichael,2111,4.35,2230,4.6,9033,18.63,11323,23.36,6559,13.53,11685,24.11,5533,11.41
2019,Carson,6184,9.26,5635,8.44,13006,19.47,16542,24.77,5499,8.23,15429,23.1,4493,6.73
2019,Chico,1944,3.2,3319,5.46,10041,16.53,14242,23.45,6408,10.55,15861,26.11,8925,14.69
2019,Chino,5040,7.3,7421,10.75,15394,22.31,16435,23.82,5998,8.69,13463,19.51,5250,7.61
2019,Chino Hills,1054,1.79,1685,2.87,7332,12.47,11960,20.34,5943,10.11,20858,35.47,9975,16.96
2019,Chula Vista,11349,6.18,19435,10.59,37664,20.52,40510,22.07,21041,11.47,38169,20.8,15354,8.37
2019,Citrus Heights,1217,1.87,4050,6.22,16946,26.04,24122,37.06,7116,10.93,7945,12.21,3689,5.67
2019,Clovis,1283,1.74,3671,4.99,12527,17.03,22843,31.05,7202,9.79,16465,22.38,9586,13.03
2019,Compton,14645,24.36,10242,17.04,16904,28.12,10674,17.76,2550,4.24,3456,5.75,1636,2.72
2019,Concord,5813,6.42,4030,4.45,16882,18.65,20904,23.09,9501,10.49,21906,24.19,11508,12.71
2019,Corona,6820,6.04,7783,6.89,29364,25.99,26927,23.84,10634,9.41,20303,17.97,11135,9.86
2019,Costa Mesa,4668,5.89,6472,8.17,14451,18.25,17054,21.53,6060,7.65,21638,27.32,8853,11.18
2019,Daly City,4641,5.9,4814,6.12,17866,22.71,14772,18.78,7178,9.13,23885,30.37,5500,6.99
2019,Davis,1261,3.48,773,2.14,3368,9.31,5137,14.2,1623,4.49,11211,30.98,12813,35.41
2019,Downey,7285,9.79,5010,6.73,21578,28.98,15151,20.35,7618,10.23,12851,17.26,4957,6.66
2019,East Los Angeles,21600,28.73,13110,17.43,17412,23.16,13135,17.47,3849,5.12,4682,6.23,1407,1.87
2019,El Cajon,6864,9.92,4119,5.95,16232,23.45,19333,27.93,6408,9.26,11097,16.03,5169,7.47
2019,Elk Grove,5550,4.65,5900,4.95,22699,19.03,29058,24.36,12285,10.3,28602,23.98,15176,12.72
2019,El Monte,18536,23.26,10742,13.48,23500,29.49,11701,14.69,4419,5.55,9223,11.58,1554,1.95
2019,Escondido,14623,14.29,6882,6.72,19914,19.46,26528,25.92,6908,6.75,18321,17.9,9182,8.97
2019,Fairfield,4599,5.86,2690,3.43,18253,23.25,19473,24.8,8499,10.82,17970,22.89,7036,8.96
2019,Florence-Graham,14315,33.23,8928,20.72,9243,21.45,5858,13.6,1397,3.24,2630,6.1,710,1.65
2019,Folsom,704,1.23,1732,3.03,7597,13.3,10386,18.19,6381,11.17,18349,32.13,11961,20.94
2019,Fontana,14654,11.3,15706,12.11,37151,28.64,28833,22.23,7885,6.08,19244,14.84,6233,4.81
2019,Fremont,5175,3.0,6813,3.95,30117,17.46,21508,12.47,8377,4.86,55632,32.25,44905,26.03
2019,Fresno,36201,11.04,38000,11.59,75199,22.94,73827,22.52,33284,10.15,48846,14.9,22507,6.86
2019,Fullerton,5263,5.77,4422,4.85,15801,17.33,19313,21.18,6223,6.82,23846,26.15,16318,17.9
2019,Garden Grove,13988,11.46,14344,11.75,32193,26.37,21714,17.78,9682,7.93,24066,19.71,6112,5.01
2019,Glendale,10538,7.14,7739,5.24,36787,24.91,17633,11.94,15113,10.23,38842,26.3,21024,14.24
2019,Hawthorne,6917,12.58,6227,11.33,12379,22.52,12132,22.07,3879,7.06,9187,16.71,4249,7.73
2019,Hayward,7277,6.53,10696,9.6,30699,27.55,22260,19.98,9378,8.42,22654,20.33,8455,7.59
2019,Hemet,6701,11.69,6282,10.96,19487,33.99,14925,26.03,3959,6.91,3591,6.26,2382,4.16
2019,Hesperia,3809,6.5,8270,14.12,20541,35.08,11821,20.19,5475,9.35,5990,10.23,2657,4.54
2019,Huntington Beach,5824,3.95,5882,3.99,26988,18.29,34319,23.25,14091,9.55,36361,24.64,24115,16.34
2019,Indio,2992,4.72,7314,11.55,15033,23.74,15880,25.07,5700,9.0,10350,16.34,6065,9.58
2019,Inglewood,9144,12.49,7432,10.15,17823,24.34,17076,23.32,4295,5.87,12925,17.65,4526,6.18
2019,Irvine,1765,0.95,3804,2.04,12768,6.84,24238,12.98,14389,7.71,73060,39.14,56663,30.35
2019,Jurupa Valley,11966,18.43,6868,10.58,19580,30.15,12187,18.77,4231,6.52,7383,11.37,2723,4.19
2019,Laguna Niguel,1157,2.41,1226,2.55,4626,9.63,9994,20.81,4584,9.55,16372,34.09,10066,20.96
2019,Lake Elsinore,3687,8.92,1697,4.11,12896,31.21,10393,25.15,3145,7.61,7297,17.66,2201,5.33
2019,Lake Forest,1288,2.16,1628,2.73,7679,12.86,13330,22.32,5404,9.05,19843,33.22,10562,17.68
2019,Lakewood,2338,4.39,2116,3.97,11072,20.78,14010,26.29,6386,11.98,12059,22.63,5309,9.96
2019,Lancaster,7158,7.24,10060,10.17,29330,29.65,24792,25.06,9345,9.45,11943,12.07,6296,6.36
2019,Livermore,1842,2.93,1098,1.74,10194,16.2,13686,21.75,6503,10.33,18711,29.73,10895,17.31
2019,Lodi,5067,11.71,2623,6.06,12355,28.55,10958,25.32,4350,10.05,5321,12.3,2600,6.01
2019,Long Beach,35871,11.29,26465,8.33,59280,18.65,71408,22.47,20214,6.36,70284,22.11,34329,10.8
2019,Los Angeles,366306,13.19,231555,8.34,528710,19.03,476606,17.16,178634,6.43,661928,23.83,334223,12.03
2019,Lynwood,9881,23.37,8678,20.52,12083,28.58,6625,15.67,1548,3.66,3078,7.28,388,0.92
2019,Madera,10275,29.13,4384,12.43,6802,19.28,8077,22.9,3098,8.78,1601,4.54,1037,2.94
2019,Manteca,2711,4.91,3399,6.16,16346,29.62,15853,28.73,5453,9.88,8028,14.55,3392,6.15
2019,Menifee,4054,6.52,2952,4.75,18947,30.47,16150,25.97,7053,11.34,8463,13.61,4563,7.34
2019,Merced,6681,13.79,6088,12.57,12383,25.56,11048,22.8,5179,10.69,4502,9.29,2567,5.3
2019,Milpitas,3243,5.05,3983,6.2,8690,13.53,7109,11.06,5684,8.85,22055,34.33,13485,20.99
2019,Mission Viejo,1340,1.9,2289,3.25,9393,13.32,15545,22.04,6869,9.74,22185,31.46,12903,18.3
2019,Modesto,12394,8.7,11233,7.88,45444,31.89,37315,26.19,10738,7.54,18076,12.69,7299,5.12
2019,Moreno Valley,13257,10.39,16563,12.98,36660,28.73,33467,26.23,9334,7.32,12437,9.75,5864,4.6
2019,Mountain View,1818,2.93,2176,3.51,5202,8.39,5481,8.84,2748,4.43,19949,32.16,24652,39.74
2019,Murrieta,858,1.15,4349,5.85,16615,22.35,23328,31.38,7030,9.46,14621,19.66,7551,10.16
2019,Napa,5050,8.92,3439,6.07,11051,19.51,12726,22.47,4356,7.69,12474,22.02,7548,13.33
2019,Newport Beach,565,0.89,1446,2.29,4709,7.45,11704,18.52,4412,6.98,22744,35.99,17620,27.88
2019,Norwalk,8597,12.22,6663,9.47,20095,28.57,14730,20.94,4707,6.69,12625,17.95,2930,4.17
2019,Oakland,22728,7.21,21641,6.87,53150,16.86,46364,14.71,17222,5.46,87799,27.85,66316,21.04
2019,Oceanside,10948,8.95,7332,5.99,24167,19.75,31292,25.57,11780,9.63,23407,19.13,13442,10.98
2019,Ontario,14378,12.15,15735,13.29,29815,25.19,29145,24.62,8494,7.18,14973,12.65,5828,4.92
2019,Orange,6839,7.29,7748,8.26,15040,16.02,21373,22.77,5826,6.21,24739,26.36,12289,13.09
2019,Oxnard,27462,20.67,8393,6.32,40143,30.21,21852,16.45,8796,6.62,19004,14.3,7208,5.43
2019,Palmdale,11922,12.9,10484,11.34,27505,29.76,20232,21.89,7006,7.58,11979,12.96,3308,3.58
2019,Palo Alto,789,1.72,586,1.28,1396,3.05,3170,6.93,1088,2.38,14118,30.86,24595,53.77
2019,Pasadena,6771,6.22,4419,4.06,15602,14.33,14438,13.26,5774,5.3,33701,30.95,28194,25.89
2019,Perris,10761,22.67,3737,7.87,15418,32.48,9613,20.25,2736,5.76,4011,8.45,1200,2.53
2019,Pittsburg,6515,13.32,4888,9.99,13864,28.35,9193,18.8,3506,7.17,7407,15.14,3536,7.23
2019,Pleasanton,1434,2.48,995,1.72,5442,9.4,7272,12.56,4307,7.44,21175,36.58,17266,29.83
2019,Pomona,14745,15.16,12452,12.81,23700,24.37,22333,22.97,5939,6.11,13684,14.07,4386,4.51
2019,Rancho Cordova,1707,3.59,3939,8.27,10668,22.41,12581,26.43,4870,10.23,9615,20.2,4222,8.87
2019,Rancho Cucamonga,4699,3.84,5701,4.65,22399,18.28,32707,26.69,12730,10.39,27515,22.46,16774,13.69
2019,Redding,826,1.29,2909,4.55,14769,23.09,21711,33.94,8329,13.02,10935,17.09,4493,7.02
2019,Redlands,1162,2.27,3356,6.55,6831,13.33,9247,18.04,3472,6.77,12390,24.17,14800,28.87
2019,Redondo Beach,506,1.08,851,1.81,2960,6.29,9322,19.82,3164,6.73,20339,43.23,9901,21.05
2019,Redwood City,3640,5.77,1863,2.95,9711,15.39,9314,14.76,4434,7.03,17558,27.83,16564,26.26
2019,Rialto,7215,11.61,9378,15.09,18676,30.04,15722,25.29,3352,5.39,5601,9.01,2222,3.57
2019,Richmond,8409,11.22,9346,12.47,14766,19.7,14343,19.14,4855,6.48,14824,19.78,8400,11.21
2019,Riverside,22231,10.93,16410,8.07,56299,27.69,48191,23.7,15277,7.51,25536,12.56,19364,9.52
2019,Rocklin,740,1.66,1118,2.51,6464,14.49,8617,19.32,5700,12.78,14990,33.6,6981,15.65
2019,Roseville,2005,2.03,3459,3.5,15394,15.59,24482,24.79,10388,10.52,29752,30.13,13265,13.43
2019,Sacramento,23806,6.82,21558,6.17,78509,22.48,81517,23.34,26021,7.45,77336,22.14,40523,11.6
2019,Salinas,25166,27.82,11338,12.53,21879,24.19,13098,14.48,8482,9.38,7454,8.24,3045,3.37
2019,San Bernardino,14438,11.08,21704,16.66,42236,32.41,27039,20.75,8170,6.27,11535,8.85,5182,3.98
2019,San Buenaventura (Ventura),2297,2.89,4146,5.21,15291,19.21,20635,25.92,7778,9.77,18656,23.44,10801,13.57
2019,San Clemente,658,1.45,819,1.8,6342,13.94,8377,18.42,3550,7.8,13797,30.33,11946,26.26
2019,San Diego,56366,5.69,47552,4.8,154539,15.61,192905,19.49,69625,7.03,277682,28.05,191280,19.32
2019,San Francisco,47667,6.8,33872,4.83,83279,11.88,87281,12.45,34056,4.86,245885,35.06,169239,24.13
2019,San Jose,62158,8.74,41424,5.83,117419,16.51,117489,16.52,52781,7.42,183254,25.77,136515,19.2
