year,GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
2017,1600000US0647766,Milpitas,60335,34938,41001,41001,41001,22128,76213
2017,1600000US0648256,Mission Viejo,79044,49250,50035,50035,50035,33936,95578
2017,1600000US0648354,Modesto,168274,89125,92271,92271,92271,72621,212667
2017,1600000US0649270,Moreno Valley,155439,87118,90395,90395,90395,48908,206570
2017,1600000US0649670,Mountain View,67382,46892,48637,48637,48637,33177,81307
2017,1600000US0650076,Murrieta,83285,45638,45899,45899,45899,32407,112612
2017,1600000US0650258,Napa,N,41342,42106,42106,42106,28790,79349
2017,1600000US0651182,Newport Beach,72764,44075,44700,44700,44700,37968,85898
2017,1600000US0652526,Norwalk,84997,50709,51140,51140,51140,27661,104420
2017,1600000US0653000,Oakland,349595,219165,224968,224968,224968,158851,423307
2017,1600000US0653322,Oceanside,143878,85526,84399,84399,84399,61138,173499
2017,1600000US0653896,Ontario,136692,81236,83159,83159,83159,50572,175247
2017,1600000US0653980,Orange,117192,72131,74281,74281,74281,42663,136749
2017,1600000US0654652,Oxnard,159066,98767,101212,101212,101212,52717,208887
2017,1600000US0655156,Palmdale,116600,61587,62607,62607,62607,42005,157307
2017,1600000US0655282,Palo Alto,53033,31690,32323,32323,32323,25439,66749
2017,1600000US0656000,Pasadena,119945,76476,77665,77665,77665,54177,141356
2017,1600000US0656700,Perris,54338,31942,N,33206,33206,15947,77725
2017,1600000US0657456,Pittsburg,57892,33441,34426,34426,34426,20784,71936
2017,1600000US0657792,Pleasanton,67661,45340,46334,46334,46334,30435,82869
2017,1600000US0658072,Pomona,119492,69006,69863,69863,69863,38980,151819
2017,1600000US0659444,Rancho Cordova,57956,34694,35843,35843,35843,25850,73360
2017,1600000US0659451,Rancho Cucamonga,137268,86016,88177,88177,88177,52731,174509
2017,1600000US0659920,Redding,73972,41132,41580,41580,41580,38036,90659
2017,1600000US0659962,Redlands,59428,32331,33308,33308,33308,26264,70942
2017,1600000US0660018,Redondo Beach,55809,37253,37633,37633,37633,28081,67659
2017,1600000US0660102,Redwood City,71969,49721,50240,50240,50240,32344,85441
2017,1600000US0660466,Rialto,78639,45383,46611,46611,46611,26699,103332
2017,1600000US0660620,Richmond,88273,53141,54614,54614,54614,37029,109042
2017,1600000US0662000,Riverside,260853,149790,153668,153668,153668,86905,325167
2017,1600000US0662938,Roseville,108051,64098,65453,65453,65453,50198,134617
2017,1600000US0664000,Sacramento,396307,227711,233716,233716,233716,189193,497785
2017,1600000US0664224,Salinas,114183,69152,70097,70097,70097,41218,156682
2017,1600000US0665000,San Bernardino,163978,79117,81551,81551,81551,60714,209942
2017,1600000US0665042,San Buenaventura (Ventura),89600,52417,53869,53869,53869,41338,109510
2017,1600000US0665084,San Clemente,N,33087,33604,33604,33604,25366,65153
2017,1600000US0666000,San Diego,1166285,740422,723119,723119,723119,504208,1383566
2017,1600000US0667000,San Francisco,777887,523364,534557,534557,534557,360323,880097
2017,1600000US0668000,San Jose,832198,529403,543752,543752,543752,321913,1031513
2017,1600000US0668084,San Leandro,76019,41152,42614,42614,42614,33458,90331
