Year,City,Percent Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - High School Graduate (and equivalent),"Percent Population 25 years and over - Some college, no degree",Percent Population 25 years and over - Associate's degree,Percent Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Graduate or Prefessional Degree,Total population,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Violent Crimes Sum,Unemployment Rate,Income,House price mean,% All Families,Crime_Rate_per_100k,Percent Home Occupied,Percent Renter Occupied
2010,Oxnard,24.5,14.3,20.1,19.6,6.2,10.4,4.8,198484.0,8.7,8.8,6.8,7.8,9.4,15.7,13.1,13.3,4.5,4.0,4.3,3.0,0.9,691.0,10.1,49059.0,327436.6,13.4,348.13889280748066,52.26563933223262,47.73436066776738
2010,Palmdale,13.1,13.7,21.2,26.8,9.3,11.3,4.7,152944.0,8.7,10.2,9.0,10.2,8.6,11.9,13.0,14.8,4.1,3.3,3.7,2.0,0.5,832.0,16.3,40215.0,151760.2,15.1,543.9899571084842,69.03145592440632,30.968544075593684
2010,Pasadena,9.8,10.1,13.5,16.6,5.9,26.1,18.0,137294.0,6.2,4.4,5.4,4.4,7.4,19.5,15.1,16.1,5.0,4.0,5.2,4.4,2.9,554.0,13.4,50821.0,533248.6,6.6,403.5136276894839,45.008952991873436,54.99104700812656
2010,Perris,21.1,16.1,27.0,20.7,5.3,7.1,2.6,68816.0,9.6,9.5,11.1,10.7,6.2,14.5,17.7,10.5,4.2,2.1,2.1,1.6,0.2,160.0,22.7,15621.0,147550.6,24.7,232.50406882120438,65.81524870366813,34.18475129633186
2010,Pittsburg,10.0,10.2,31.7,26.1,7.0,9.5,5.5,63510.0,6.1,8.4,7.8,7.0,8.5,17.8,13.4,12.3,4.0,5.9,5.4,2.5,0.9,154.0,13.2,18231.0,156650.2,13.5,242.48149897653911,59.261697109319286,40.738302890680714
2010,Pleasanton,2.5,4.8,13.6,18.3,7.5,28.8,24.5,70456.0,6.6,8.5,8.6,7.0,5.8,11.1,14.8,16.7,5.9,4.7,5.8,3.2,1.3,78.0,11.0,23226.0,705622.2,3.6,110.7073918473941,68.01429432532507,31.985705674674936
2010,Pomona,18.7,16.1,26.0,17.8,6.7,9.8,4.9,149225.0,9.3,9.0,8.6,9.4,8.3,14.4,14.4,11.7,3.9,3.4,4.2,2.2,1.2,877.0,13.6,36638.0,216393.8,19.5,587.7031328530742,51.19275069599869,48.80724930400131
2010,Rancho Cucamonga,3.4,4.7,22.9,29.5,10.5,18.6,10.3,165858.0,6.9,7.4,7.2,7.4,6.4,15.0,15.7,16.9,5.7,4.4,3.6,2.3,1.0,340.0,12.0,54752.0,322312.0,3.6,204.9946339639933,66.00854763296317,33.99145236703682
2010,Redding,2.2,8.3,24.2,30.7,12.0,14.5,8.0,89901.0,7.1,7.0,7.3,6.4,6.9,13.1,11.8,11.4,7.4,6.3,8.4,4.5,2.4,793.0,15.5,33646.0,201528.6,16.4,882.0814006518281,54.675147120014266,45.324852879985734
2010,Redwood City,5.6,7.9,20.3,21.5,4.9,24.1,15.8,77013.0,8.4,5.8,8.1,5.1,6.0,13.2,16.6,14.6,6.3,4.6,5.0,3.7,2.6,174.0,9.8,26963.0,672236.7,4.0,225.9358809551634,54.163112413307125,45.836887586692875
2010,Rialto,20.0,15.4,27.3,20.9,6.6,6.3,3.5,99530.0,7.7,8.7,10.1,11.1,7.5,12.7,15.6,11.3,4.3,4.1,4.0,2.3,0.4,497.0,16.3,23707.0,156322.3,17.1,499.3469305736964,62.87594381406336,37.124056185936645
2010,Richmond,10.5,13.0,22.2,21.4,8.5,15.9,8.5,104059.0,8.1,6.7,5.7,6.5,7.5,14.5,13.9,14.9,6.0,7.0,5.7,2.6,0.9,1176.0,16.5,36033.0,207719.3,15.8,1130.1281004045782,48.64984874975717,51.35015125024284
2010,Riverside,11.1,11.5,22.5,25.4,7.3,12.7,9.5,305707.0,7.9,7.0,7.3,9.1,9.9,15.7,12.6,13.2,5.0,3.5,4.9,2.6,1.2,1448.0,15.8,87752.0,211443.4,12.3,473.6561478801598,57.00724769805816,42.992752301941835
2010,Roseville,1.5,4.2,20.1,27.2,12.6,24.6,9.8,119335.0,6.1,9.3,6.5,8.0,6.5,12.3,15.7,13.2,5.4,4.2,6.1,4.9,1.7,334.0,11.3,44079.0,284107.3,5.4,279.884359156995,66.14260759091631,33.857392409083694
2010,Sacramento,8.8,9.5,20.7,25.0,7.8,18.1,10.1,467503.0,7.3,6.9,6.3,7.7,7.7,16.8,13.0,13.1,5.5,4.8,5.6,3.7,1.6,4112.0,16.0,176168.0,164356.6,16.4,879.5665482360541,49.356296262658375,50.643703737341625
