Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2012,Torrance,2983,2.8,3356,3.2,20085,19.2,21791,20.8,10942,10.4,30896,29.5,14814,14.1
2012,Tracy,6109,11.6,3203,6.1,15308,29.1,12741,24.2,5221,9.9,7642,14.5,2410,4.6
2012,Turlock,3314,7.6,2828,6.5,11957,27.4,11259,25.8,4026,9.2,5651,12.9,4665,10.7
2012,Tustin,3337,6.9,3342,6.9,9154,19.0,10906,22.6,2931,6.1,10775,22.4,7765,16.1
2012,Union City,4633,9.5,3708,7.6,9543,19.6,8833,18.1,4077,8.4,12733,26.1,5273,10.8
2012,Upland,3582,7.3,3257,6.7,9091,18.6,15100,30.9,4173,8.5,9282,19.0,4374,9.0
2012,Vacaville,2873,4.7,3900,6.4,15407,25.1,19473,31.8,7266,11.9,7839,12.8,4531,7.4
2012,Vallejo,5082,6.4,5374,6.8,19962,25.2,23048,29.1,7323,9.2,13617,17.2,4782,6.0
2012,Victorville,4911,7.5,8224,12.5,21986,33.5,17001,25.9,5574,8.5,5108,7.8,2883,4.4
2012,Visalia,6957,9.0,4942,6.4,18772,24.2,19308,24.9,6831,8.8,13238,17.0,7646,9.8
2012,Vista,11067,17.1,6075,9.4,14149,21.8,10449,16.1,10732,16.5,8951,13.8,3448,5.3
2012,Walnut Creek,406,0.8,665,1.3,6553,12.7,9605,18.6,3427,6.6,16190,31.4,14714,28.5
2012,West Covina,5409,7.7,6268,9.0,16861,24.1,18955,27.1,5592,8.0,12256,17.5,4577,6.5
2012,Westminster,6897,11.4,7940,13.1,15968,26.3,11567,19.1,5240,8.6,8849,14.6,4147,6.8
2012,Whittier,4306,7.7,5304,9.5,13348,24.0,13131,23.6,5054,9.1,9159,16.4,5384,9.7
2012,Yorba Linda,561,1.2,1222,2.7,5246,11.6,12931,28.6,3474,7.7,13905,30.7,7914,17.5
2012,Yuba City,4076,10.3,3504,8.8,9278,23.4,11253,28.4,4687,11.8,5372,13.6,1472,3.7
