Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2010,Corona,7267,7.9,8483,9.2,19031,20.6,24690,26.7,9784,10.6,16821,18.2,6232,6.8
2010,Costa Mesa,4606,6.2,6685,8.9,10385,13.9,19039,25.5,7815,10.5,18627,24.9,7551,10.1
2010,Daly City,6588,9.4,3392,4.8,14295,20.3,17418,24.8,5620,8.0,18510,26.3,4505,6.4
2010,Davis,733,2.2,441,1.3,2638,7.8,4194,12.4,1299,3.8,11673,34.4,12954,38.2
2010,Downey,8966,12.5,7063,9.9,20281,28.4,14570,20.4,7016,9.8,9237,12.9,4385,6.1
2010,East Los Angeles,29442,40.3,11439,15.6,14708,20.1,9781,13.4,2603,3.6,3826,5.2,1316,1.8
2010,El Cajon,7282,12.2,6171,10.4,17452,29.3,15910,26.7,4350,7.3,5732,9.6,2704,4.5
2010,Elk Grove,4814,5.1,3987,4.2,14067,14.9,25712,27.2,13648,14.4,24307,25.7,7981,8.4
2010,El Monte,21217,29.6,11798,16.5,18049,25.2,9621,13.4,2700,3.8,6232,8.7,2051,2.9
2010,Escondido,16615,17.7,9546,10.2,20395,21.7,17584,18.7,10103,10.7,13712,14.6,6036,6.4
2010,Fairfield,4968,7.5,5400,8.2,17856,27.1,17819,27.0,5751,8.7,9873,15.0,4259,6.5
2010,Folsom,908,1.9,3997,8.1,10771,21.9,10119,20.6,3898,7.9,11342,23.1,8046,16.4
2010,Fontana,14704,12.6,14958,12.8,32462,27.8,27656,23.6,8012,6.9,13140,11.2,6021,5.1
2010,Fremont,6823,4.6,7546,5.1,31772,21.6,20838,14.2,9462,6.4,39942,27.1,30870,21.0
2010,Fresno,42032,14.9,29886,10.6,64246,22.7,65213,23.1,24691,8.7,39264,13.9,17479,6.2
2010,Fullerton,6834,8.0,6631,7.7,13491,15.8,22105,25.8,7149,8.4,20563,24.0,8837,10.3
2010,Garden Grove,14275,13.0,13228,12.0,24776,22.6,25465,23.2,8260,7.5,18863,17.2,4954,4.5
2010,Glendale,12549,9.3,8178,6.0,25016,18.5,25317,18.7,11154,8.2,35844,26.5,17315,12.8
2010,Hawthorne,6578,12.5,5786,11.0,13838,26.3,12477,23.7,3871,7.3,7292,13.8,2842,5.4
2010,Hayward,10652,11.7,9229,10.1,25450,27.9,19353,21.2,6553,7.2,15367,16.8,4668,5.1
2010,Hemet,2793,5.6,7694,15.4,15378,30.7,14543,29.1,3073,6.1,4315,8.6,2233,4.5
2010,Hesperia,5154,10.0,7712,15.0,16651,32.4,13565,26.4,2657,5.2,3424,6.7,2222,4.3
2010,Huntington Beach,5509,4.1,6510,4.8,23246,17.2,35400,26.2,13216,9.8,31844,23.6,19352,14.3
2010,Indio,7404,16.1,5892,12.8,10320,22.5,8161,17.8,4981,10.9,5244,11.4,3886,8.5
2010,Inglewood,11857,17.4,9508,13.9,14054,20.6,18344,26.8,3477,5.1,7474,10.9,3620,5.3
2010,Irvine,3303,2.4,2538,1.9,11138,8.2,20454,15.1,8295,6.1,52282,38.7,37101,27.5
2010,Lake Forest,3181,6.4,1532,3.1,7684,15.4,10657,21.4,4652,9.3,14598,29.2,7611,15.2
2010,Lakewood,3944,7.5,4647,8.8,11066,21.0,13584,25.8,5396,10.3,8872,16.9,5115,9.7
2010,Lancaster,7559,8.2,12786,13.8,24827,26.9,24367,26.4,7580,8.2,9633,10.4,5587,6.1
2010,Livermore,2901,5.3,1473,2.7,9537,17.4,13304,24.3,6254,11.4,15360,28.0,5934,10.8
2010,Long Beach,32765,11.2,31119,10.6,56283,19.2,68528,23.3,23527,8.0,52915,18.0,28355,9.7
2010,Los Angeles,399204,16.1,249089,10.0,472878,19.1,455218,18.3,143727,5.8,505161,20.4,255962,10.3
2010,Lynwood,11826,30.5,7185,18.5,11007,28.4,5979,15.4,948,2.4,1360,3.5,442,1.1
2010,Manteca,4203,10.5,2507,6.3,11417,28.5,12019,30.0,3549,8.9,4821,12.0,1573,3.9
2010,Menifee,3492,6.6,5540,10.4,14073,26.4,15600,29.3,5377,10.1,5229,9.8,3991,7.5
2010,Merced,7426,16.8,5183,11.7,9357,21.2,12456,28.2,3536,8.0,4299,9.7,1977,4.5
2010,Milpitas,3363,7.1,4103,8.6,8620,18.2,7713,16.2,4480,9.4,12182,25.7,7009,14.8
2010,Mission Viejo,1411,2.1,1736,2.6,10641,15.9,16199,24.2,7725,11.6,18511,27.7,10636,15.9
2010,Modesto,10321,8.2,13090,10.4,35243,28.1,34893,27.8,9705,7.7,13694,10.9,8364,6.7
2010,Moreno Valley,14297,13.7,13846,13.2,28009,26.8,26556,25.4,7104,6.8,10642,10.2,4092,3.9
2010,Mountain View,2293,4.2,2231,4.1,5989,11.0,8897,16.3,2534,4.6,14495,26.5,18168,33.3
2010,Murrieta,2948,4.8,3125,5.1,13594,22.3,19508,32.0,4569,7.5,10976,18.0,6220,10.2
2010,Napa,6597,12.8,3835,7.4,11181,21.7,12344,23.9,4658,9.0,8396,16.3,4570,8.9
2010,Newport Beach,632,1.0,714,1.1,7200,11.5,9672,15.4,3868,6.2,24316,38.8,16234,25.9
2010,Norwalk,10214,15.4,8083,12.2,16887,25.5,14604,22.1,4338,6.6,8311,12.6,3734,5.6
2010,Oakland,32052,11.8,22598,8.3,46047,16.9,54345,20.0,15034,5.5,58477,21.5,43274,15.9
2010,Oceanside,12384,11.4,7482,6.9,22903,21.1,28724,26.5,10925,10.1,16435,15.2,9451,8.7
2010,Ontario,17258,18.2,14522,15.3,23368,24.6,21782,22.9,5955,6.3,8129,8.6,3952,4.2
2010,Orange,6661,7.5,9404,10.7,15849,18.0,18396,20.8,5659,6.4,21560,24.4,10713,12.1
2010,Oxnard,28509,24.5,16615,14.3,23348,20.1,22827,19.6,7267,6.2,12138,10.4,5579,4.8
2010,Palmdale,10720,13.1,11187,13.7,17290,21.2,21872,26.8,7575,9.3,9193,11.3,3808,4.7
2010,Pasadena,9704,9.8,10019,10.1,13358,13.5,16401,16.6,5849,5.9,25902,26.1,17835,18.0
2010,Perris,7692,21.1,5862,16.1,9812,27.0,7536,20.7,1946,5.3,2586,7.1,953,2.6
2010,Pittsburg,3940,10.0,4046,10.2,12518,31.7,10321,26.1,2755,7.0,3755,9.5,2177,5.5
2010,Pleasanton,1138,2.5,2135,4.8,6073,13.6,8161,18.3,3363,7.5,12888,28.8,10929,24.5
2010,Pomona,15486,18.7,13312,16.1,21495,26.0,14713,17.8,5544,6.7,8124,9.8,4056,4.9
2010,Rancho Cucamonga,3655,3.4,5082,4.7,24570,22.9,31647,29.5,11266,10.5,19929,18.6,11073,10.3
2010,Redding,1283,2.2,4901,8.3,14235,24.2,18054,30.7,7081,12.0,8504,14.5,4721,8.0
2010,Redlands,1803,4.1,2419,5.4,7427,16.7,10969,24.7,3105,7.0,9862,22.2,8842,19.9
2010,Redondo Beach,1077,2.1,1309,2.6,5683,11.3,9145,18.2,3572,7.1,17859,35.6,11525,23.0
2010,Redwood City,2868,5.6,4052,7.9,10426,20.3,11043,21.5,2519,4.9,12356,24.1,8091,15.8
2010,Rialto,10917,20.0,8378,15.4,14888,27.3,11405,20.9,3625,6.6,3453,6.3,1913,3.5
2010,Richmond,7167,10.5,8861,13.0,15117,22.2,14561,21.4,5773,8.5,10823,15.9,5794,8.5
2010,Riverside,20013,11.1,20658,11.5,40426,22.5,45542,25.4,13059,7.3,22768,12.7,17059,9.5
2010,Roseville,1171,1.5,3211,4.2,15251,20.1,20626,27.2,9543,12.6,18682,24.6,7433,9.8
2010,Sacramento,26479,8.8,28436,9.5,62200,20.7,75124,25.0,23409,7.8,54186,18.1,30221,10.1
2010,Salinas,22672,26.9,8962,10.6,18485,21.9,16060,19.0,6574,7.8,8389,9.9,3235,3.8
2010,San Bernardino,19658,16.5,23162,19.4,30709,25.8,23196,19.5,7971,6.7,9833,8.2,4720,4.0
2010,San Buenaventura (Ventura),3503,4.9,6191,8.6,12434,17.3,20708,28.7,6904,9.6,13824,19.2,8479,11.8
2010,San Diego,56259,6.6,54528,6.4,138427,16.4,186108,22.0,69516,8.2,203571,24.1,137883,16.3
2010,San Francisco,52517,8.5,34721,5.6,88019,14.2,96677,15.6,32774,5.3,194510,31.4,120792,19.5
2010,San Jose,61419,9.9,49864,8.0,118373,19.0,118954,19.1,46431,7.5,144263,23.2,83405,13.4
2010,San Leandro,5566,9.1,5298,8.7,16039,26.3,14221,23.3,4032,6.6,11748,19.2,4159,6.8
2010,San Marcos,6022,11.5,2750,5.3,9018,17.2,9679,18.5,9755,18.6,10012,19.1,5128,9.8
2010,San Mateo,4711,6.7,3476,4.9,12663,17.9,13545,19.1,6032,8.5,18450,26.1,11865,16.8
2010,San Ramon,946,1.9,860,1.8,5250,10.7,9580,19.5,3728,7.6,18020,36.7,10661,21.7
2010,Santa Ana,53230,28.7,34318,18.5,38897,21.0,28333,15.3,6682,3.6,17351,9.4,6439,3.5
2010,Santa Barbara,6424,10.4,4131,6.7,8506,13.8,12641,20.5,4625,7.5,13836,22.4,11537,18.7
2010,Santa Clara,2058,2.7,2694,3.6,11870,15.7,13429,17.7,5968,7.9,22752,30.1,16937,22.4
2010,Santa Clarita,4901,4.4,6745,6.0,23597,21.0,32744,29.2,10611,9.5,23511,21.0,10098,9.0
2010,Santa Maria,16633,28.4,6595,11.3,12069,20.6,12526,21.4,3205,5.5,5416,9.3,2083,3.6
2010,Santa Monica,1280,1.8,2440,3.5,8740,12.5,11381,16.3,3154,4.5,23030,33.0,19742,28.3
2010,Santa Rosa,7509,6.8,9161,8.3,21429,19.4,31469,28.5,8412,7.6,19806,18.0,12523,11.4
2010,Simi Valley,2388,2.8,4791,5.7,18365,21.9,23269,27.7,8667,10.3,18772,22.3,7769,9.2
2010,South Gate,19433,34.6,7413,13.2,15118,26.9,7442,13.3,3012,5.4,2763,4.9,933,1.7
2010,Stockton,24366,13.9,19423,11.1,43515,24.9,41087,23.5,16653,9.5,19049,10.9,10750,6.1
2010,Sunnyvale,4386,4.4,2922,2.9,12605,12.7,17392,17.5,5717,5.7,30059,30.2,26388,26.5
2010,Temecula,1384,2.4,3509,6.0,12777,21.9,16383,28.1,6437,11.0,12456,21.4,5363,9.2
2010,Thousand Oaks,1837,2.2,3595,4.2,14137,16.6,16988,20.0,6734,7.9,25515,30.0,16135,19.0
2010,Torrance,3309,3.3,5334,5.3,15965,15.8,21874,21.7,8310,8.2,30152,29.9,15825,15.7
2010,Tracy,3851,7.8,3038,6.2,13508,27.5,13292,27.0,3522,7.2,9651,19.6,2279,4.6
2010,Turlock,4636,10.5,4556,10.3,11910,27.0,8679,19.7,3045,6.9,8230,18.6,3100,7.0
2010,Tustin,5200,11.1,3625,7.7,7873,16.8,8842,18.9,3182,6.8,11726,25.0,6363,13.6
2010,Union City,2730,6.1,2412,5.4,11961,26.9,9125,20.5,2524,5.7,11444,25.7,4319,9.7
2010,Upland,2611,5.4,3144,6.4,10430,21.4,13851,28.4,5254,10.8,8129,16.7,5362,11.0
2010,Vacaville,2895,4.7,4863,8.0,16791,27.5,17959,29.4,6435,10.5,8494,13.9,3693,6.0
2010,Vallejo,5285,6.7,7230,9.2,18958,24.0,22319,28.3,9054,11.5,10811,13.7,5330,6.7
2010,Victorville,5354,8.5,9911,15.8,19591,31.2,16021,25.5,4076,6.5,5411,8.6,2436,3.9
2010,Visalia,8813,11.7,7647,10.1,16867,22.3,18248,24.1,9424,12.5,9497,12.6,5126,6.8
2010,Vista,9858,16.9,5889,10.1,12355,21.2,13224,22.7,5051,8.7,8638,14.8,3182,5.5
2010,West Covina,6105,9.2,6607,10.0,15584,23.5,15897,24.0,5109,7.7,11551,17.4,5416,8.2
2010,Westminster,8597,14.3,7745,12.9,14951,24.9,12868,21.4,4671,7.8,8681,14.5,2562,4.3
2010,Whittier,3635,6.5,6249,11.2,13085,23.5,15352,27.5,5264,9.4,7702,13.8,4509,8.1
2010,Yorba Linda,1562,3.6,1054,2.5,6248,14.6,11338,26.5,4089,9.5,11953,27.9,6602,15.4
