Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2011,Lakewood,3064,5.7,4521,8.4,12880,24.1,14151,26.4,6087,11.4,9012,16.8,3822,7.1
2011,Lancaster,8877,9.3,9183,9.6,28761,30.1,24232,25.4,10576,11.1,8779,9.2,4996,5.2
2011,Livermore,1640,2.9,2508,4.5,10872,19.6,13592,24.4,6947,12.5,12656,22.8,7388,13.3
2011,Long Beach,33243,11.3,28302,9.6,56377,19.2,67341,22.9,24359,8.3,56103,19.1,28635,9.7
2011,Los Angeles,390185,15.4,257961,10.2,499992,19.8,449371,17.8,150698,6.0,514925,20.4,263070,10.4
2011,Lynwood,10837,28.2,7760,20.2,9697,25.3,6552,17.1,1075,2.8,1678,4.4,765,2.0
2011,Manteca,2607,6.4,4367,10.8,14172,35.0,9572,23.6,4192,10.3,3335,8.2,2297,5.7
2011,Menifee,2224,4.1,4615,8.5,15795,29.0,17665,32.4,4449,8.2,6426,11.8,3336,6.1
2011,Merced,6563,15.1,5456,12.5,8323,19.1,12343,28.4,4205,9.7,4255,9.8,2343,5.4
2011,Milpitas,2640,5.6,3096,6.5,10072,21.2,9706,20.4,3654,7.7,11565,24.3,6762,14.2
2011,Mission Viejo,1763,2.7,2349,3.6,11529,17.7,16614,25.5,5636,8.7,17957,27.6,9237,14.2
2011,Modesto,12338,9.8,13123,10.4,36854,29.3,31567,25.1,8274,6.6,15549,12.4,7894,6.3
2011,Moreno Valley,10882,10.0,15338,14.1,29401,27.1,26153,24.1,9244,8.5,12019,11.1,5596,5.2
2011,Mountain View,2705,5.0,1849,3.4,6759,12.5,7081,13.0,1896,3.5,17302,31.9,16683,30.7
2011,Murrieta,1269,2.0,4755,7.4,14791,22.9,19168,29.6,5023,7.8,12428,19.2,7233,11.2
2011,Napa,7732,14.6,4186,7.9,10592,20.0,9952,18.8,4566,8.6,10388,19.6,5550,10.5
2011,Newport Beach,543,0.9,495,0.8,6013,9.5,12078,19.1,3400,5.4,24123,38.1,16670,26.3
2011,Norwalk,9633,14.8,8096,12.4,15853,24.3,18037,27.7,4186,6.4,6197,9.5,3201,4.9
2011,Oakland,33964,12.3,21618,7.8,48326,17.4,53214,19.2,14800,5.3,59670,21.5,45592,16.4
2011,Oceanside,9204,8.5,7324,6.8,25317,23.5,30380,28.2,11225,10.4,16033,14.9,8241,7.7
2011,Ontario,15248,15.7,13425,13.8,28775,29.6,24636,25.3,5673,5.8,7691,7.9,1815,1.9
2011,Orange,7673,8.7,6925,7.8,16668,18.8,19504,22.0,8337,9.4,19163,21.6,10426,11.8
2011,Oxnard,28922,25.0,12872,11.1,23490,20.3,22958,19.9,9192,8.0,12978,11.2,5161,4.5
2011,Palmdale,10288,12.4,10099,12.1,23252,27.9,20820,25.0,5714,6.9,8804,10.6,4317,5.2
2011,Palo Alto,788,1.7,585,1.3,1817,4.0,3654,8.0,2362,5.1,12136,26.4,24597,53.5
2011,Pasadena,7913,8.0,4401,4.4,15860,16.0,16483,16.7,5725,5.8,22983,23.2,25549,25.8
2011,Perris,6603,19.1,7209,20.9,7905,22.9,8771,25.4,1851,5.4,1116,3.2,1101,3.2
2011,Pittsburg,5113,12.6,3034,7.5,10290,25.3,10369,25.5,3813,9.4,6038,14.8,2040,5.0
2011,Pleasanton,448,0.9,1916,3.9,6998,14.4,8592,17.7,4265,8.8,16259,33.4,10188,20.9
2011,Pomona,19607,22.4,12220,13.9,20709,23.6,14923,17.0,5692,6.5,9821,11.2,4635,5.3
2011,Rancho Cordova,1558,3.7,2440,5.8,10178,24.0,11900,28.1,3933,9.3,7516,17.7,4859,11.5
2011,Rancho Cucamonga,4515,4.0,6618,5.9,22506,20.2,35358,31.7,9431,8.4,21741,19.5,11488,10.3
2011,Redding,1265,2.1,3921,6.6,16446,27.5,17466,29.2,6929,11.6,9053,15.2,4670,7.8
2011,Redlands,1278,2.8,2046,4.5,10711,23.5,11169,24.5,2911,6.4,9194,20.2,8244,18.1
2011,Redondo Beach,778,1.6,1883,3.8,5050,10.1,8799,17.6,4110,8.2,16960,33.9,12422,24.8
2011,Redwood City,4887,9.3,3873,7.4,10278,19.6,7795,14.9,3193,6.1,13915,26.5,8495,16.2
2011,Rialto,9324,17.8,9278,17.7,16945,32.4,10789,20.6,3050,5.8,1889,3.6,1024,2.0
2011,Richmond,8949,13.1,6974,10.2,15560,22.7,14673,21.5,5496,8.0,10006,14.6,6741,9.9
2011,Riverside,20147,11.3,21021,11.8,45635,25.5,43984,24.6,13578,7.6,20152,11.3,14128,7.9
2011,Roseville,1146,1.4,2656,3.3,15418,19.2,23998,29.8,7199,8.9,20959,26.0,9101,11.3
2011,Sacramento,31384,10.4,23958,8.0,60578,20.1,73542,24.5,25368,8.4,54323,18.1,31571,10.5
2011,Salinas,28696,32.2,9447,10.6,19024,21.4,15031,16.9,5911,6.6,8429,9.5,2485,2.8
2011,San Bernardino,16664,14.2,19650,16.7,34173,29.1,26478,22.5,7347,6.3,8420,7.2,4731,4.0
2011,San Buenaventura (Ventura),2926,3.9,5245,7.0,14194,19.0,19641,26.3,7027,9.4,15569,20.8,10113,13.5
2011,San Diego,65246,7.5,56154,6.5,139664,16.1,186608,21.5,62814,7.3,215332,24.9,140505,16.2
2011,San Francisco,53437,8.5,35443,5.6,85291,13.5,94996,15.1,32858,5.2,202337,32.1,126021,20.0
2011,San Jose,57428,8.9,50480,7.8,127724,19.8,124247,19.3,48736,7.6,152664,23.7,83057,12.9
2011,San Leandro,7154,12.3,4443,7.6,15618,26.8,11067,19.0,4737,8.1,11322,19.4,4020,6.9
2011,San Marcos,7611,14.5,5233,9.9,8818,16.8,7403,14.1,10967,20.8,9192,17.5,3419,6.5
2011,San Mateo,3989,5.5,4103,5.7,12585,17.4,16031,22.2,5529,7.7,19057,26.4,10974,15.2
2011,San Ramon,655,1.4,794,1.7,3604,7.7,6784,14.5,3346,7.2,20435,43.7,11100,23.8
2011,Santa Ana,55597,28.9,31405,16.3,45592,23.7,30394,15.8,10904,5.7,14382,7.5,4169,2.2
2011,Santa Barbara,6599,10.9,4243,7.0,8028,13.3,12402,20.5,4219,7.0,14720,24.4,10215,16.9
2011,Santa Clara,2746,3.5,3705,4.7,12624,15.9,16409,20.7,5490,6.9,20710,26.1,17645,22.2
2011,Santa Clarita,8521,7.6,7068,6.3,19966,17.9,29466,26.4,12322,11.0,23965,21.4,10437,9.3
2011,Santa Maria,13214,23.7,8201,14.7,9732,17.4,11850,21.2,4063,7.3,6202,11.1,2509,4.5
2011,Santa Monica,1904,2.7,1145,1.6,5924,8.5,11290,16.3,4393,6.3,24348,35.1,20444,29.4
2011,Santa Rosa,7779,6.9,6689,5.9,25701,22.8,28011,24.9,9868,8.8,21747,19.3,12898,11.4
2011,Simi Valley,3204,3.9,5023,6.1,16828,20.4,24108,29.2,7969,9.7,16898,20.5,8497,10.3
2011,South Gate,18100,32.4,10508,18.8,13989,25.1,7879,14.1,2501,4.5,2454,4.4,406,0.7
2011,Stockton,24289,14.2,18242,10.7,43699,25.6,39997,23.4,15038,8.8,19284,11.3,10228,6.0
2011,Sunnyvale,4777,4.8,3657,3.7,12852,12.8,12026,12.0,7852,7.8,28822,28.8,30153,30.1
2011,Temecula,2560,4.1,2606,4.2,14181,22.9,20129,32.5,6191,10.0,11018,17.8,5311,8.6
2011,Thousand Oaks,2781,3.1,3871,4.3,11709,13.1,20236,22.7,7915,8.9,25299,28.4,17375,19.5
2011,Torrance,2984,2.9,4557,4.5,19768,19.3,24045,23.5,9344,9.1,27517,26.9,14149,13.8
2011,Tracy,5362,10.4,6318,12.2,11349,22.0,11727,22.7,4850,9.4,8929,17.3,3088,6.0
2011,Turlock,4957,11.8,3455,8.2,11040,26.2,10040,23.8,2353,5.6,7519,17.8,2785,6.6
2011,Tustin,5188,10.7,3983,8.2,5939,12.2,8888,18.3,3157,6.5,14741,30.4,6670,13.7
2011,Union City,3583,7.8,2552,5.6,12494,27.3,8153,17.8,2116,4.6,12725,27.8,4119,9.0
2011,Upland,2454,4.8,3533,7.0,11181,22.1,11779,23.3,5062,10.0,9710,19.2,6909,13.6
2011,Vacaville,3845,6.1,4278,6.8,14907,23.5,19398,30.6,6282,9.9,10708,16.9,3919,6.2
2011,Vallejo,4746,6.0,6117,7.8,21064,26.8,21281,27.1,6458,8.2,14512,18.5,4365,5.6
2011,Victorville,9055,14.0,9306,14.4,16518,25.5,19984,30.9,5883,9.1,2792,4.3,1195,1.8
2011,Visalia,8877,11.4,5707,7.3,18354,23.6,23690,30.4,6140,7.9,9437,12.1,5652,7.3
2011,Vista,7180,11.9,7925,13.1,16033,26.5,9339,15.4,11080,18.3,6217,10.3,2753,4.5
2011,Walnut Creek,430,0.9,1306,2.6,3778,7.6,8948,18.1,3343,6.8,19142,38.7,12459,25.2
2011,West Covina,4812,6.9,8433,12.0,13859,19.8,17071,24.3,5999,8.6,14765,21.1,5191,7.4
2011,Westminster,7455,11.8,8866,14.1,15285,24.2,12809,20.3,4605,7.3,11134,17.7,2903,4.6
2011,Whittier,3848,7.1,4785,8.8,13382,24.6,15485,28.5,4095,7.5,7543,13.9,5252,9.7
2011,Yorba Linda,734,1.7,1213,2.8,5356,12.3,10045,23.1,4413,10.2,13126,30.2,8575,19.7
2011,Yuba City,4764,11.7,5183,12.8,9250,22.8,11282,27.8,3557,8.8,4309,10.6,2230,5.5
