Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2014,Huntington Beach,4964,3.4,6291,4.3,23230,15.9,33916,23.3,14725,10.1,39424,27.1,23190,15.9
2014,Indio,6716,12.8,8034,15.3,15422,29.4,11115,21.2,3783,7.2,4772,9.1,2688,5.1
2014,Inglewood,10902,15.4,9426,13.3,13181,18.7,20717,29.3,3987,5.6,8865,12.6,3554,5.0
2014,Irvine,3767,2.3,2907,1.8,11730,7.3,22797,14.2,10580,6.6,63052,39.3,45633,28.4
2014,Jurupa Valley,9553,16.7,9044,15.8,14035,24.5,16142,28.1,2879,5.0,4098,7.1,1616,2.8
2014,Laguna Niguel,328,0.7,999,2.1,7013,14.5,8973,18.5,4141,8.5,16429,33.9,10569,21.8
2014,Lake Forest,2988,5.6,2294,4.3,8402,15.8,13057,24.6,4266,8.0,14284,26.9,7882,14.8
2014,Lakewood,3125,5.6,3702,6.7,12462,22.4,16228,29.2,5659,10.2,9874,17.8,4509,8.1
2014,Lancaster,8493,8.5,9606,9.7,32569,32.8,26528,26.7,8656,8.7,8768,8.8,4818,4.8
2014,Livermore,2925,4.9,3262,5.5,10420,17.4,14382,24.1,5872,9.8,13538,22.7,9319,15.6
2014,Long Beach,38957,12.8,24717,8.1,55479,18.2,73162,23.9,23354,7.6,59474,19.5,30387,9.9
2014,Los Angeles,386735,14.6,245194,9.3,521213,19.7,477791,18.1,157571,6.0,560947,21.2,290540,11.0
2014,Lynwood,13846,31.3,8282,18.7,12188,27.6,6804,15.4,1257,2.8,1467,3.3,394,0.9
2014,Manteca,2614,5.6,5871,12.5,15555,33.1,12499,26.6,3434,7.3,5778,12.3,1233,2.6
2014,Menifee,3627,6.4,5431,9.7,14724,26.2,17477,31.1,4758,8.5,6573,11.7,3650,6.5
2014,Merced,6368,13.4,3568,7.5,11359,23.9,12083,25.4,4913,10.3,5804,12.2,3458,7.3
2014,Milpitas,3942,7.6,3286,6.3,8288,15.9,9260,17.7,5279,10.1,13422,25.7,8731,16.7
2014,Mission Viejo,2308,3.3,2717,3.9,13350,19.1,16548,23.7,4887,7.0,21269,30.5,8715,12.5
2014,Modesto,12648,9.1,12035,8.7,36887,26.6,37461,27.1,11948,8.6,17766,12.8,9688,7.0
2014,Moreno Valley,14615,12.3,15597,13.1,33381,28.0,30722,25.8,10454,8.8,9552,8.0,4725,4.0
2014,Mountain View,1003,1.7,1520,2.6,5758,10.0,7818,13.6,3543,6.1,16299,28.3,21736,37.7
2014,Murrieta,1402,2.1,4763,7.3,13525,20.7,21363,32.6,6018,9.2,11240,17.2,7127,10.9
2014,Napa,7174,13.3,3882,7.2,11047,20.4,10731,19.8,4221,7.8,10846,20.0,6222,11.5
2014,Newport Beach,313,0.5,1288,2.0,5270,8.1,12632,19.4,4384,6.7,24486,37.6,16772,25.7
2014,Norwalk,13570,19.0,7230,10.1,20061,28.1,13847,19.4,5617,7.9,8953,12.5,2166,3.0
2014,Oakland,32634,11.2,26145,9.0,44002,15.1,56231,19.3,18097,6.2,63299,21.7,51278,17.6
2014,Oceanside,8033,6.7,7979,6.7,24484,20.5,28705,24.1,15278,12.8,22159,18.6,12514,10.5
2014,Ontario,17511,17.3,13323,13.1,25331,25.0,25299,25.0,5839,5.8,9439,9.3,4576,4.5
2014,Orange,6171,7.1,5988,6.9,18065,20.7,18881,21.7,6662,7.6,21141,24.3,10243,11.8
2014,Oxnard,27306,22.1,13202,10.7,26589,21.5,27002,21.8,9077,7.3,14492,11.7,5940,4.8
2014,Palmdale,12524,13.5,13272,14.3,22487,24.2,24248,26.1,6535,7.0,9744,10.5,4094,4.4
2014,Palo Alto,754,1.6,180,0.4,3998,8.3,3346,6.9,1178,2.4,13698,28.3,25172,52.1
2014,Pasadena,7456,7.4,4647,4.6,15940,15.8,14272,14.1,6631,6.6,26666,26.4,25560,25.3
2014,Perris,8370,20.6,6134,15.1,12151,29.9,8887,21.8,2224,5.5,2181,5.4,743,1.8
2014,Pittsburg,3930,9.0,3370,7.7,13038,29.9,11748,26.9,4045,9.3,5675,13.0,1829,4.2
2014,Pleasanton,592,1.1,1396,2.7,6871,13.1,8741,16.7,4347,8.3,17285,33.0,13108,25.0
2014,Pomona,15167,16.8,12318,13.7,24795,27.5,17079,19.0,5268,5.8,11041,12.3,4423,4.9
2014,Rancho Cordova,2537,5.6,2206,4.9,10258,22.6,12958,28.5,5274,11.6,8959,19.7,3267,7.2
2014,Rancho Cucamonga,4193,3.6,6415,5.5,27565,23.4,31699,26.9,11650,9.9,22216,18.9,13912,11.8
2014,Redding,1413,2.3,4091,6.7,13632,22.3,18394,30.1,7759,12.7,10119,16.6,5698,9.3
2014,Redlands,1383,3.2,3025,7.1,11439,26.8,8772,20.6,3787,8.9,7519,17.6,6737,15.8
2014,Redondo Beach,825,1.7,1671,3.4,5215,10.6,11369,23.2,3292,6.7,17943,36.6,8753,17.8
2014,Redwood City,4244,7.4,3067,5.3,8813,15.4,11105,19.3,5127,8.9,13467,23.5,11571,20.2
2014,Rialto,9278,15.8,9674,16.5,16783,28.6,12569,21.4,3584,6.1,5085,8.7,1675,2.9
2014,Richmond,10161,13.9,6459,8.8,16829,23.0,14681,20.1,5626,7.7,12663,17.3,6594,9.0
2014,Riverside,20240,10.5,17625,9.2,55561,29.0,46272,24.1,13050,6.8,23699,12.4,15432,8.0
2014,Roseville,1437,1.7,2844,3.3,13059,15.1,25213,29.2,10094,11.7,22818,26.4,10966,12.7
2014,Sacramento,26652,8.5,26290,8.3,66735,21.2,73811,23.4,27939,8.9,58113,18.4,35540,11.3
2014,Salinas,24157,26.2,12665,13.8,22238,24.2,13735,14.9,7863,8.5,7940,8.6,3445,3.7
2014,San Bernardino,18953,16.0,19759,16.6,34835,29.3,23629,19.9,7513,6.3,9871,8.3,4236,3.6
2014,San Buenaventura (Ventura),3206,4.1,3323,4.3,14983,19.3,19427,25.1,8634,11.1,18208,23.5,9746,12.6
2014,San Clemente,950,2.1,1151,2.5,5750,12.5,11418,24.8,4725,10.3,14129,30.7,7965,17.3
2014,San Diego,59776,6.4,53306,5.7,150765,16.1,187586,20.1,68162,7.3,253146,27.1,161152,17.3
2014,San Francisco,50570,7.5,29675,4.4,85639,12.7,101616,15.1,40005,6.0,220923,32.9,143468,21.4
2014,San Jose,66367,9.7,49597,7.2,125834,18.4,120101,17.5,50863,7.4,165735,24.2,106286,15.5
2014,San Leandro,6841,10.8,3819,6.0,17275,27.3,12084,19.1,5279,8.3,12636,20.0,5396,8.5
2014,San Marcos,5492,9.5,4208,7.2,9874,17.0,11500,19.8,7834,13.5,12665,21.8,6470,11.1
2014,San Mateo,3907,5.2,4263,5.6,11707,15.4,12153,16.0,5204,6.9,22542,29.7,16034,21.2
2014,San Ramon,198,0.4,476,1.0,3036,6.5,7545,16.2,3842,8.2,17661,37.9,13900,29.8
2014,Santa Ana,58462,29.0,31843,15.8,42721,21.2,33776,16.8,9868,4.9,17049,8.5,7530,3.7
2014,Santa Barbara,5300,8.6,2770,4.5,9695,15.7,11169,18.1,3863,6.3,18153,29.4,10830,17.5
2014,Santa Clara,3290,3.9,4437,5.3,12129,14.6,12510,15.0,5288,6.3,24008,28.8,21631,26.0
2014,Santa Clarita,5222,4.5,5043,4.4,23263,20.2,31689,27.5,12074,10.5,25960,22.5,12190,10.6
2014,Santa Maria,17701,30.0,7991,13.5,10286,17.4,11506,19.5,3335,5.7,5276,8.9,2888,4.9
2014,Santa Monica,2404,3.2,1645,2.2,7138,9.6,11221,15.0,4228,5.7,27600,36.9,20483,27.4
2014,Santa Rosa,9527,8.0,7755,6.5,22312,18.8,28115,23.7,11524,9.7,25387,21.4,14235,12.0
2014,Simi Valley,3876,4.5,4668,5.4,20104,23.1,21578,24.8,10451,12.0,16867,19.4,9505,10.9
2014,South Gate,19195,32.6,8852,15.0,13930,23.7,9049,15.4,2673,4.5,4056,6.9,1083,1.8
2014,South San Francisco,3623,7.2,3383,6.7,10064,19.9,11585,22.9,3315,6.6,15343,30.4,3206,6.3
2014,Stockton,24494,13.2,21910,11.8,49199,26.6,41344,22.3,16477,8.9,20420,11.0,11309,6.1
2014,Sunnyvale,3246,3.1,4751,4.6,12404,11.9,12795,12.3,5928,5.7,30869,29.6,34337,32.9
2014,Temecula,3163,4.5,2802,4.0,14329,20.3,19129,27.1,7295,10.3,16250,23.0,7541,10.7
2014,Thousand Oaks,2664,3.0,3251,3.6,13197,14.6,19149,21.2,8149,9.0,25718,28.5,18090,20.1
2014,Torrance,3448,3.3,2931,2.8,18707,17.8,19523,18.6,8500,8.1,34238,32.6,17605,16.8
2014,Tracy,4757,9.6,3816,7.7,14748,29.7,10845,21.8,3937,7.9,8542,17.2,3014,6.1
2014,Turlock,5496,12.4,2710,6.1,10726,24.2,11777,26.6,3622,8.2,6820,15.4,3190,7.2
2014,Tustin,6343,11.4,5770,10.4,9938,17.9,10080,18.2,3578,6.5,11990,21.6,7734,14.0
2014,Union City,3362,6.3,2827,5.3,15569,29.0,11235,20.9,3088,5.7,11561,21.5,6110,11.4
2014,Upland,1429,2.8,2306,4.5,13470,26.1,14036,27.1,4332,8.4,9667,18.7,6462,12.5
2014,Vacaville,2777,4.3,5008,7.8,14934,23.3,20316,31.7,6488,10.1,10072,15.7,4594,7.2
2014,Vallejo,4282,5.3,4398,5.4,19096,23.6,23907,29.6,7610,9.4,16281,20.1,5295,6.5
2014,Victorville,6004,8.8,6799,10.0,19786,29.0,19683,28.9,8045,11.8,4612,6.8,3203,4.7
2014,Visalia,7003,9.2,5610,7.4,20545,26.9,20825,27.3,6363,8.3,11227,14.7,4697,6.2
2014,Vista,7824,12.7,4434,7.2,16028,26.1,13227,21.6,7129,11.6,9493,15.5,3234,5.3
2014,Walnut Creek,634,1.2,1063,2.0,5854,11.1,8819,16.8,4181,8.0,20235,38.5,11736,22.3
2014,West Covina,6585,9.0,6108,8.4,19117,26.2,14560,20.0,6542,9.0,14750,20.2,5299,7.3
2014,Westminster,8667,12.9,6144,9.1,17122,25.4,14324,21.2,6181,9.2,11011,16.3,3979,5.9
2014,Whittier,4784,8.6,4621,8.4,12353,22.3,15708,28.4,5076,9.2,7530,13.6,5243,9.5
2014,Yorba Linda,673,1.5,1254,2.8,5245,11.5,9615,21.2,4888,10.8,15148,33.4,8590,18.9
2014,Yuba City,4933,11.6,3906,9.2,11092,26.1,10346,24.3,4632,10.9,4742,11.2,2874,6.8
